timestep,H(t)_mean,H(t)_err
1.680000000000000071e+01,1.157200000000000242e-02,7.774445317834584876e-05
1.719999999999999929e+01,1.131520000000000095e-02,1.051272562183565610e-04
1.760000000000000142e+01,1.087420000000000053e-02,1.424381971242264953e-04
1.800000000000000000e+01,1.031560000000000116e-02,9.850766467641011367e-05
1.839999999999999858e+01,1.013359999999999955e-02,1.240079029739636748e-04
1.880000000000000071e+01,9.755000000000001517e-03,1.242396877008309340e-04
1.919999999999999929e+01,9.374800000000000841e-03,4.512471606558885335e-05
1.960000000000000142e+01,9.123799999999999619e-03,8.183300067821056728e-05
2.000000000000000000e+01,9.020799999999998958e-03,9.999019951975279363e-05
2.039999999999999858e+01,8.686799999999999730e-03,1.281145581110905462e-04
2.080000000000000071e+01,8.543199999999999059e-03,1.460145198259406492e-04
2.119999999999999929e+01,8.257999999999997981e-03,1.845957745995287691e-04
2.160000000000000142e+01,7.984399999999999137e-03,5.883757302948520340e-05
2.200000000000000000e+01,7.812399999999999727e-03,8.720011467882374777e-05
2.239999999999999858e+01,7.620200000000000584e-03,1.202253716983232656e-04
2.280000000000000071e+01,7.430199999999999652e-03,1.168312458206280336e-04
2.319999999999999929e+01,7.118600000000000101e-03,4.682691533722879859e-05
2.360000000000000142e+01,7.064000000000000834e-03,1.053655541436573033e-04
2.400000000000000000e+01,6.982799999999999944e-03,1.147568734324876284e-04
2.439999999999999858e+01,6.839200000000001008e-03,9.011625824455866095e-05
2.480000000000000071e+01,6.535799999999999596e-03,2.312660805219822751e-05
2.519999999999999929e+01,6.189999999999999322e-03,5.729659675757368313e-05
2.560000000000000142e+01,6.161600000000001451e-03,6.316533859641694569e-05
2.600000000000000000e+01,6.050200000000000369e-03,9.852329673737079149e-05
2.639999999999999858e+01,5.979199999999999619e-03,1.522629304853942404e-05
2.680000000000000071e+01,5.878200000000000092e-03,5.200230764110372111e-05
2.719999999999999929e+01,5.653599999999999945e-03,7.954407583220768319e-05
2.760000000000000142e+01,5.588999999999999350e-03,1.042175609002628901e-04
2.800000000000000000e+01,5.580599999999999797e-03,6.921892804717505161e-05
2.839999999999999858e+01,5.514199999999999484e-03,7.961620438076661517e-05
2.880000000000000071e+01,5.378400000000000195e-03,7.754005416557291223e-05
2.919999999999999929e+01,5.263200000000000864e-03,1.115501680859333565e-04
2.960000000000000142e+01,5.212200000000000166e-03,1.205949418508089237e-04
3.000000000000000000e+01,5.001800000000000690e-03,1.061076811545706196e-04
3.039999999999999858e+01,4.892399999999999874e-03,8.126413723162257698e-05
3.080000000000000071e+01,4.872200000000000142e-03,1.056259437827658255e-04
3.119999999999999929e+01,4.564799999999999934e-03,9.096449856949690403e-05
3.160000000000000142e+01,4.415199999999999333e-03,2.204177851263362258e-05
3.200000000000000000e+01,4.403200000000000343e-03,9.538679153845153462e-05
3.239999999999999858e+01,4.457800000000000477e-03,7.000957077428773768e-05
3.279999999999999716e+01,4.396999999999999867e-03,3.839791661014962362e-05
3.320000000000000284e+01,4.334199999999999858e-03,7.923850074301000705e-05
3.360000000000000142e+01,4.152000000000000308e-03,4.275394718619554069e-05
3.400000000000000000e+01,4.010200000000000223e-03,7.353189784032506120e-05
3.439999999999999858e+01,4.030600000000000502e-03,8.593928089063816028e-05
