t,D_solv_mean,D_solv_err
3.152000000000000000e+03,4.152409422588833054e-01,7.053797127254928922e-04
3.156000000000000000e+03,4.152394433882552471e-01,7.055280915953506329e-04
3.160000000000000000e+03,4.152401424050632950e-01,7.063858162376439017e-04
3.164000000000000000e+03,4.152388116308470822e-01,7.071944059156838429e-04
3.168000000000000000e+03,4.152379524410775291e-01,7.084709908007771418e-04
3.172000000000000000e+03,4.152363808322824257e-01,7.088106741494999349e-04
3.176000000000000000e+03,4.152368335432409796e-01,7.090239205335052480e-04
3.180000000000000000e+03,4.152361582809224183e-01,7.105340146696676861e-04
3.184000000000000000e+03,4.152349560301507592e-01,7.108013101902157984e-04
3.188000000000000000e+03,4.152342220828105779e-01,7.117047097188592721e-04
3.192000000000000000e+03,4.152339390142022468e-01,7.122174530664906978e-04
3.196000000000000000e+03,4.152336983729661979e-01,7.126936694273279440e-04
3.200000000000000000e+03,4.152318281249999243e-01,7.139644616834210774e-04
3.204000000000000000e+03,4.152321525176861927e-01,7.141305174832384382e-04
3.208000000000000000e+03,4.152321747714048383e-01,7.152227035270118790e-04
3.212000000000000000e+03,4.152310242839353238e-01,7.159094720127738435e-04
3.216000000000000000e+03,4.152299492122719649e-01,7.165624834985911138e-04
3.220000000000000000e+03,4.152289078674947786e-01,7.171409774028483352e-04
3.224000000000000000e+03,4.152301643920595642e-01,7.175938685952865017e-04
3.228000000000000000e+03,4.152286193721601570e-01,7.180035018673489380e-04
3.232000000000000000e+03,4.152287180280528345e-01,7.190013293741027902e-04
3.236000000000000000e+03,4.152288164400494419e-01,7.195999212932283583e-04
3.240000000000000000e+03,4.152268724279835621e-01,7.197240666721673895e-04
3.244000000000000000e+03,4.152261868064117678e-01,7.207060354687068503e-04
3.248000000000000000e+03,4.152272424055828415e-01,7.212651723493674304e-04
3.252000000000000000e+03,4.152256918819187126e-01,7.218179749089870126e-04
3.256000000000000000e+03,4.152244471744471754e-01,7.227184448179623183e-04
3.260000000000000000e+03,4.152249233128834649e-01,7.232216665278257909e-04
3.264000000000000000e+03,4.152249234068626782e-01,7.240847210238633919e-04
3.268000000000000000e+03,4.152246787025704045e-01,7.242660847390980025e-04
3.272000000000000000e+03,4.152230847595761998e-01,7.250063083927694822e-04
3.276000000000000000e+03,4.152232397232397121e-01,7.259710342100259310e-04
3.280000000000000000e+03,4.152237957317073125e-01,7.265532148279848362e-04
3.284000000000000000e+03,4.152217265529841717e-01,7.272012820769559963e-04
3.288000000000000000e+03,4.152221309813463046e-01,7.276624482392545380e-04
3.292000000000000000e+03,4.152204738760632563e-01,7.284896994848517925e-04
3.296000000000000000e+03,4.152208636731392066e-01,7.288413858534202160e-04
3.300000000000000000e+03,4.152192626262626307e-01,7.295095395881848275e-04
3.304000000000000000e+03,4.152198547215496527e-01,7.307298953355013255e-04
3.308000000000000000e+03,4.152183242644095773e-01,7.311258820555593474e-04
3.312000000000000000e+03,4.152174466586151524e-01,7.316986427092096647e-04
3.316000000000000000e+03,4.152186067551266180e-01,7.324090528240275420e-04
3.320000000000000000e+03,4.152191917670682852e-01,7.332404521107593323e-04
3.324000000000000000e+03,4.152178800641797562e-01,7.341078190964240528e-04
3.328000000000000000e+03,4.152169170673076226e-01,7.347839671562831493e-04
3.332000000000000000e+03,4.152160414165666502e-01,7.351936030927217923e-04
3.336000000000000000e+03,4.152162869704237314e-01,7.362665106147905361e-04
3.340000000000000000e+03,4.152168712574850207e-01,7.376488339324282486e-04
3.344000000000000000e+03,4.152138955342902227e-01,7.378361361935699457e-04
3.348000000000000000e+03,4.152137544802867453e-01,7.384871243215553483e-04
3.352000000000000000e+03,4.152138176213206466e-01,7.392742716021418695e-04
3.356000000000000000e+03,4.152140147000397130e-01,7.403523916677440296e-04
3.360000000000000000e+03,4.152120535714286520e-01,7.406520444006907617e-04
3.364000000000000000e+03,4.152121284185493200e-01,7.415479891492192995e-04
3.368000000000000000e+03,4.152119408155185987e-01,7.423737402844941347e-04
3.372000000000000000e+03,4.152112742190589567e-01,7.427912818378674129e-04
3.376000000000000000e+03,4.152106931279620494e-01,7.435888277831503987e-04
3.380000000000000000e+03,4.152108234714003698e-01,7.441393931704732819e-04
3.384000000000000000e+03,4.152105496453900590e-01,7.452118325267527953e-04
3.388000000000000000e+03,4.152093860684769600e-01,7.458630971449349296e-04
3.392000000000000000e+03,4.152080925707546943e-01,7.467319781052570967e-04
3.396000000000000000e+03,4.152092608951707398e-01,7.473072634669756728e-04
3.400000000000000000e+03,4.152095147058822988e-01,7.478892311829226942e-04
3.404000000000000000e+03,4.152095965530747668e-01,7.488150396094333605e-04
3.408000000000000000e+03,4.152080301251956373e-01,7.490576823658840876e-04
3.412000000000000000e+03,4.152078302071121607e-01,7.511176721808089912e-04
3.416000000000000000e+03,4.152073575331772237e-01,7.510224629564416898e-04
3.420000000000000000e+03,4.152065204678362376e-01,7.517676669138192817e-04
3.424000000000000000e+03,4.152064544392523038e-01,7.529820191072472734e-04
3.428000000000000000e+03,4.152052703228316100e-01,7.535154106078633144e-04
3.432000000000000000e+03,4.152046620046619951e-01,7.538631322146181757e-04
3.436000000000000000e+03,4.152044091967403427e-01,7.547875819763573326e-04
3.440000000000000000e+03,4.152035319767442556e-01,7.557327521811647462e-04
3.444000000000000000e+03,4.152036343399148066e-01,7.565064764297235777e-04
3.448000000000000000e+03,4.152027552204176075e-01,7.573151705111804202e-04
3.452000000000000000e+03,4.152017043259945694e-01,7.578735162462865499e-04
3.456000000000000000e+03,4.152024980709875801e-01,7.587438718431941927e-04
3.460000000000000000e+03,4.152021724470134068e-01,7.598148430711206599e-04
3.464000000000000000e+03,4.151999615088530216e-01,7.602137996575186220e-04
3.468000000000000000e+03,4.152007256824298276e-01,7.610314326986346387e-04
3.472000000000000000e+03,4.151997071812596474e-01,7.618457376303783626e-04
3.476000000000000000e+03,4.151994054468737261e-01,7.626673175245742009e-04
3.480000000000000000e+03,4.151992241379310888e-01,7.636969866890412498e-04
3.484000000000000000e+03,4.151982108687332085e-01,7.642998045556401773e-04
3.488000000000000000e+03,4.151968797782874532e-01,7.646918345699375320e-04
3.492000000000000000e+03,4.151980908743795884e-01,7.657674183174485944e-04
3.496000000000000000e+03,4.151976401601830124e-01,7.667273921259548956e-04
3.500000000000000000e+03,4.151969380952381106e-01,7.671517345526674856e-04
3.504000000000000000e+03,4.151961805555555718e-01,7.678034508312682124e-04
3.508000000000000000e+03,4.151953392246293673e-01,7.692619806264646126e-04
3.512000000000000000e+03,4.151970292331055856e-01,7.694619953266431918e-04
3.516000000000000000e+03,4.151933210087220272e-01,7.698997323025252556e-04
3.520000000000000000e+03,4.151947585227272475e-01,7.707942842262059321e-04
3.524000000000000000e+03,4.151935442678774679e-01,7.717139097760827458e-04
3.528000000000000000e+03,4.151930650037793380e-01,7.728821513781297756e-04
3.532000000000000000e+03,4.151926292940732455e-01,7.727972056240503193e-04
3.536000000000000000e+03,4.151913084464554093e-01,7.742480740585311761e-04
3.540000000000000000e+03,4.151912146892654532e-01,7.748422307444662645e-04
3.544000000000000000e+03,4.151896115500376405e-01,7.759002805966619485e-04
3.548000000000000000e+03,4.151911170612551660e-01,7.759614261732368165e-04
3.552000000000000000e+03,4.151898273273273432e-01,7.770512935428154459e-04
3.556000000000000000e+03,4.151888873265841551e-01,7.779996552980050165e-04
3.560000000000000000e+03,4.151875749063670962e-01,7.788097384668049485e-04
3.564000000000000000e+03,4.151871071829405513e-01,7.797258664407056335e-04
3.568000000000000000e+03,4.151860332585949331e-01,7.802911508158884377e-04
3.572000000000000000e+03,4.151867207913401137e-01,7.812322281899899924e-04
3.576000000000000000e+03,4.151859573079791366e-01,7.816737665496756044e-04
3.580000000000000000e+03,4.151861638733705395e-01,7.829275358729805316e-04
