t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
2.131999999999999886e+02,8.625526891807380747e-02,5.906937102205373196e-04,8.663355222013760515e-02,7.985335006769853647e-04
2.135999999999999943e+02,8.625301966292137079e-02,5.910282849706800356e-04,8.662984550561796115e-02,7.989547262100380083e-04
2.140000000000000000e+02,8.625107476635515691e-02,5.912970728428043393e-04,8.662637071651090037e-02,7.994767775299243704e-04
2.144000000000000057e+02,8.624923818407959075e-02,5.916946870653158044e-04,8.662300995024875550e-02,7.999971224162258018e-04
2.148000000000000114e+02,8.624723774053380532e-02,5.918577651344050479e-04,8.661949875853505731e-02,8.005258311559427468e-04
2.151999999999999886e+02,8.624543060718713183e-02,5.922007934040838346e-04,8.661586121437422903e-02,8.010648185022681191e-04
2.155999999999999943e+02,8.624369975262832777e-02,5.925198002050222632e-04,8.661207482993196760e-02,8.015840982225318212e-04
2.160000000000000000e+02,8.624205246913582701e-02,5.927555350069010172e-04,8.660874228395061547e-02,8.020488687310944149e-04
2.164000000000000057e+02,8.624024953789276304e-02,5.932148596019038746e-04,8.660580714725815699e-02,8.024074602855413340e-04
2.168000000000000114e+02,8.623826107011069164e-02,5.937111585362234503e-04,8.660306734317341215e-02,8.028716675603276860e-04
2.171999999999999886e+02,8.623645641497852676e-02,5.942518825829130706e-04,8.660004604051566024e-02,8.031914654487573102e-04
2.175999999999999943e+02,8.623454350490197817e-02,5.947132186462516807e-04,8.659663756127453094e-02,8.035097107211910950e-04
2.180000000000000000e+02,8.623242354740059956e-02,5.953124581552370238e-04,8.659358562691130135e-02,8.038447418623732464e-04
2.184000000000000057e+02,8.623025030525029166e-02,5.960433109438417320e-04,8.659030067155067123e-02,8.041945246614089823e-04
2.188000000000000114e+02,8.622799360146250758e-02,5.968340813670780856e-04,8.658707343083484054e-02,8.044646986182041543e-04
2.191999999999999886e+02,8.622621654501219646e-02,5.975676185807969566e-04,8.658393400243311055e-02,8.047128868058360833e-04
