t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
4.331999999999999886e+02,3.820519159741459503e-01,3.568798407766152637e-03,3.822120460141583131e-01,2.527662811412506594e-03
4.336000000000000227e+02,3.820485162976628990e-01,3.571455671112396847e-03,3.822178390221401267e-01,2.529595625077974558e-03
4.340000000000000000e+02,3.820451612903225658e-01,3.574034408369916246e-03,3.822235944700460020e-01,2.531447226145654324e-03
4.343999999999999773e+02,3.820420656844690788e-01,3.576560848913928198e-03,3.822294007059546805e-01,2.533345657900006823e-03
4.348000000000000114e+02,3.820390102729223636e-01,3.579005776173066478e-03,3.822351924256363054e-01,2.535196941224358413e-03
4.351999999999999886e+02,3.820362477022059555e-01,3.581499429074432809e-03,3.822411611519608288e-01,2.537067395294276533e-03
4.356000000000000227e+02,3.820336585552494002e-01,3.583924916916555754e-03,3.822470997857361219e-01,2.538865158154042772e-03
4.360000000000000000e+02,3.820311123853210589e-01,3.586299534564073820e-03,3.822533600917431551e-01,2.540607519791378190e-03
4.363999999999999773e+02,3.820283722884204591e-01,3.588677426324286390e-03,3.822595745493431729e-01,2.542313512345299037e-03
4.368000000000000114e+02,3.820254349816850081e-01,3.591067321574595815e-03,3.822654876373626220e-01,2.544050982616922248e-03
4.371999999999999886e+02,3.820226898444648578e-01,3.593518451640497109e-03,3.822715004574566144e-01,2.545752369452182907e-03
4.376000000000000227e+02,3.820201249238268648e-01,3.595853092307514914e-03,3.822773994515538676e-01,2.547524821439588021e-03
4.380000000000000000e+02,3.820173820395738606e-01,3.598191215979229876e-03,3.822831050228310823e-01,2.549250072549451122e-03
4.383999999999999773e+02,3.820148722627738080e-01,3.600584866079514085e-03,3.822888572080291869e-01,2.551050465382117410e-03
4.388000000000000114e+02,3.820123974475843065e-01,3.603001164398932175e-03,3.822946976602856206e-01,2.552815564476156734e-03
4.391999999999999886e+02,3.820100485731633411e-01,3.605374840530545504e-03,3.823002656344869910e-01,2.554515839737625180e-03
4.396000000000000227e+02,3.820075940248711110e-01,3.607735253126202659e-03,3.823059182590232696e-01,2.556230001965374959e-03
4.400000000000000000e+02,3.820051515151515198e-01,3.610107936640711591e-03,3.823115681818182177e-01,2.557941502859094850e-03
4.403999999999999773e+02,3.820028913109295154e-01,3.612516043575683070e-03,3.823173365122616851e-01,2.559648305089155633e-03
4.408000000000000114e+02,3.820005747126437035e-01,3.614921590105131099e-03,3.823232456140351343e-01,2.561390409682387168e-03
4.411999999999999886e+02,3.819982774252040358e-01,3.617315464974731314e-03,3.823294990933817639e-01,2.563205850093820248e-03
4.416000000000000227e+02,3.819959880736714108e-01,3.619816522099711213e-03,3.823356166968598369e-01,2.564978508629843848e-03
4.420000000000000000e+02,3.819936651583710763e-01,3.622406341391649215e-03,3.823418476621417983e-01,2.566844660844309380e-03
4.423999999999999773e+02,3.819913539783001410e-01,3.624938779134224010e-03,3.823480560578662590e-01,2.568740754925859151e-03
4.428000000000000114e+02,3.819889754591989650e-01,3.627494355440981540e-03,3.823540085817525025e-01,2.570626328622265585e-03
4.431999999999999886e+02,3.819867591756919145e-01,3.630059346720983671e-03,3.823600518953069183e-01,2.572665307290490817e-03
4.436000000000000227e+02,3.819846408175532892e-01,3.632672639948219834e-03,3.823663961526900801e-01,2.574809438523817471e-03
4.440000000000000000e+02,3.819826238738738833e-01,3.635302150476847540e-03,3.823729692192192609e-01,2.576929235438215303e-03
4.443999999999999773e+02,3.819808955895589997e-01,3.637830236907664376e-03,3.823795417041704892e-01,2.579119271692182150e-03
4.448000000000000114e+02,3.819791891486810087e-01,3.640375947202450103e-03,3.823859187649880087e-01,2.581324192023586126e-03
4.451999999999999886e+02,3.819772686433063891e-01,3.642946797511779043e-03,3.823924303683737813e-01,2.583451705547631233e-03
4.456000000000000227e+02,3.819752468581686933e-01,3.645549880178810577e-03,3.823986722022739704e-01,2.585530733977643367e-03
