t,sigma_avg,sigma_err
9.612000000000000000e+03,7.625625662366485358e+02,1.114785355913563620e+02
9.616000000000000000e+03,7.626831808097615522e+02,1.115219101948425475e+02
9.620000000000000000e+03,7.628145641025641908e+02,1.115644405732773379e+02
9.624000000000000000e+03,7.629449792186200057e+02,1.116074961784511430e+02
9.628000000000000000e+03,7.630781221437473505e+02,1.116487486667721782e+02
9.632000000000000000e+03,7.632108374861572884e+02,1.116898997999421965e+02
9.636000000000000000e+03,7.633318804483188842e+02,1.117286146914303799e+02
9.640000000000000000e+03,7.634585449515906248e+02,1.117710565865871928e+02
9.644000000000000000e+03,7.635848320199086174e+02,1.118122298425596455e+02
9.648000000000000000e+03,7.637116943062466135e+02,1.118539162132641849e+02
9.652000000000000000e+03,7.638403771239120488e+02,1.118934715259738226e+02
9.656000000000000000e+03,7.639725642087821598e+02,1.119327781484833366e+02
9.660000000000000000e+03,7.640948433402345472e+02,1.119712898347814161e+02
9.664000000000000000e+03,7.642266183774834190e+02,1.120075329561729802e+02
9.668000000000000000e+03,7.643556916287409422e+02,1.120451965375789172e+02
9.672000000000000000e+03,7.644884008822717760e+02,1.120826453408287193e+02
9.676000000000000000e+03,7.646187556841671267e+02,1.121172621286016522e+02
9.680000000000000000e+03,7.647444228650138029e+02,1.121514107556474045e+02
9.684000000000000000e+03,7.648700702189178173e+02,1.121861143416199980e+02
9.688000000000000000e+03,7.649866212496559683e+02,1.122237649246314675e+02
9.692000000000000000e+03,7.651175746319988775e+02,1.122616438998379351e+02
9.696000000000000000e+03,7.652475000000000591e+02,1.123019686251502804e+02
9.700000000000000000e+03,7.653774158075600553e+02,1.123411474106269026e+02
9.704000000000000000e+03,7.655008944765047545e+02,1.123803964644690296e+02
9.708000000000000000e+03,7.656233855239664763e+02,1.124191199270462533e+02
9.712000000000000000e+03,7.657451455244371346e+02,1.124591126834094297e+02
9.716000000000000000e+03,7.658722478386167722e+02,1.124996438227802997e+02
9.720000000000000000e+03,7.659981975308641040e+02,1.125386793915712929e+02
9.724000000000000000e+03,7.661272192513368964e+02,1.125764619992889806e+02
9.728000000000000000e+03,7.662612760416666333e+02,1.126137394851572253e+02
9.732000000000000000e+03,7.663923838882038808e+02,1.126543308708365885e+02
9.736000000000000000e+03,7.665238222404821045e+02,1.126915640177708298e+02
9.740000000000000000e+03,7.666618590006844443e+02,1.127301061555510131e+02
9.744000000000000000e+03,7.667966023535850582e+02,1.127699883157464456e+02
9.748000000000000000e+03,7.669394309943919552e+02,1.128086715942672527e+02
9.752000000000000000e+03,7.670812824719716900e+02,1.128457778682432320e+02
9.756000000000000000e+03,7.672180811808118506e+02,1.128823928308034112e+02
9.760000000000000000e+03,7.673547267759563510e+02,1.129204805833515906e+02
9.764000000000000000e+03,7.674885770858937803e+02,1.129570825006873207e+02
9.768000000000000000e+03,7.676235148785149249e+02,1.129959810130860092e+02
9.772000000000000000e+03,7.677544617273844096e+02,1.130357220507908806e+02
9.776000000000000000e+03,7.678808756137480032e+02,1.130746075332100844e+02
9.780000000000000000e+03,7.680129815950920147e+02,1.131119526065371446e+02
9.784000000000000000e+03,7.681440760425184635e+02,1.131497837013294259e+02
9.788000000000000000e+03,7.682748467511239596e+02,1.131882599157324876e+02
9.792000000000000000e+03,7.683963956971676907e+02,1.132259129971324683e+02
9.796000000000000000e+03,7.685192200898325154e+02,1.132621740009010267e+02
9.800000000000000000e+03,7.686360054421768382e+02,1.132981432182374419e+02
9.804000000000000000e+03,7.687518903848767877e+02,1.133337087832374976e+02
9.808000000000000000e+03,7.688622824904839490e+02,1.133686352383900129e+02
9.812000000000000000e+03,7.689733170267697915e+02,1.134059013371637263e+02
9.816000000000000000e+03,7.690794566693833758e+02,1.134404167031708539e+02
9.820000000000000000e+03,7.691882851323829300e+02,1.134761504525090601e+02
9.824000000000000000e+03,7.692977836590662264e+02,1.135114263244752948e+02
9.828000000000000000e+03,7.694041446208113939e+02,1.135469497735954292e+02
9.832000000000000000e+03,7.695178261459179794e+02,1.135836640573611902e+02
9.836000000000000000e+03,7.696314653653247433e+02,1.136184858312977468e+02
9.840000000000000000e+03,7.697455921409215307e+02,1.136536245144664434e+02
9.844000000000000000e+03,7.698658106460787849e+02,1.136897030264032367e+02
9.848000000000000000e+03,7.699800961278093610e+02,1.137256278954141919e+02
9.852000000000000000e+03,7.700926945459466424e+02,1.137596749838459260e+02
9.856000000000000000e+03,7.702006696428571786e+02,1.137959980905206550e+02
9.860000000000000000e+03,7.703101473968897608e+02,1.138324515047144274e+02
9.864000000000000000e+03,7.704295255474452233e+02,1.138686147193854623e+02
9.868000000000000000e+03,7.705469652749628722e+02,1.139051754332057982e+02
9.872000000000000000e+03,7.706627741761209336e+02,1.139417891028798238e+02
9.876000000000000000e+03,7.707825556905629583e+02,1.139770906907341157e+02
9.880000000000000000e+03,7.708966639676114028e+02,1.140120489324324211e+02
9.884000000000000000e+03,7.710198232834210330e+02,1.140458447344650068e+02
9.888000000000000000e+03,7.711349447141317341e+02,1.140807552388496902e+02
9.892000000000000000e+03,7.712542256368782319e+02,1.141183964059529643e+02
9.896000000000000000e+03,7.713700902721639068e+02,1.141549283897170994e+02
9.900000000000000000e+03,7.714910801346801463e+02,1.141926921781484054e+02
9.904000000000000000e+03,7.716158077544425851e+02,1.142304000551590235e+02
9.908000000000000000e+03,7.717362535324989494e+02,1.142655592301340022e+02
9.912000000000000000e+03,7.718607519504977290e+02,1.143036649229550648e+02
9.916000000000000000e+03,7.719853623773026357e+02,1.143418292989590697e+02
9.920000000000000000e+03,7.721118239247311976e+02,1.143805333524787642e+02
9.924000000000000000e+03,7.722312844283218283e+02,1.144191625818796325e+02
9.928000000000000000e+03,7.723582540961590439e+02,1.144569106112567312e+02
9.932000000000000000e+03,7.724739589206604933e+02,1.144935473109762682e+02
9.936000000000000000e+03,7.725963472893183734e+02,1.145268625351420155e+02
9.940000000000000000e+03,7.727194406438633223e+02,1.145620906419313769e+02
9.944000000000000000e+03,7.728407320997587249e+02,1.145957274063219842e+02
9.948000000000000000e+03,7.729507545905373718e+02,1.146310395615409732e+02
9.952000000000000000e+03,7.730649705251876185e+02,1.146669195435648305e+02
9.956000000000000000e+03,7.731699638408999817e+02,1.147015333553991496e+02
9.960000000000000000e+03,7.732736024096385563e+02,1.147372341232033932e+02
9.964000000000000000e+03,7.733751037066773506e+02,1.147744940656179438e+02
9.968000000000000000e+03,7.734763402889245754e+02,1.148112996418135481e+02
9.972000000000000000e+03,7.735771159245889521e+02,1.148483864676626354e+02
9.976000000000000000e+03,7.736768350708365460e+02,1.148833670162269840e+02
9.980000000000000000e+03,7.737833319973281050e+02,1.149208913362136713e+02
9.984000000000000000e+03,7.738943669871794100e+02,1.149572399007696788e+02
9.988000000000000000e+03,7.739996942998263876e+02,1.149940502984550648e+02
9.992000000000000000e+03,7.741074272751534409e+02,1.150283760021992947e+02
9.996000000000000000e+03,7.742149179671869206e+02,1.150639069081414760e+02
1.000000000000000000e+04,7.743189773333333505e+02,1.150999917754761697e+02
1.000400000000000000e+04,7.744153765160601779e+02,1.151374918124147371e+02
1.000800000000000000e+04,7.745173954169998751e+02,1.151734331868586878e+02
1.001200000000000000e+04,7.746153788786789391e+02,1.152105148128462702e+02
1.001600000000000000e+04,7.747054872204473668e+02,1.152457027425661948e+02
1.002000000000000000e+04,7.747972069194944424e+02,1.152821647630386792e+02
1.002400000000000000e+04,7.748927813248204757e+02,1.153183396604339492e+02
1.002800000000000000e+04,7.749903310729956729e+02,1.153540540338368316e+02
1.003200000000000000e+04,7.750859675704413121e+02,1.153897937763642290e+02
1.003600000000000000e+04,7.751793609671847207e+02,1.154243228117160669e+02
1.004000000000000000e+04,7.752663266932270290e+02,1.154574420290086181e+02
1.004400000000000000e+04,7.753530598699056782e+02,1.154922925024659435e+02
1.004800000000000000e+04,7.754363017515922820e+02,1.155268635728915001e+02
1.005200000000000000e+04,7.755213251094309044e+02,1.155597523633667407e+02
1.005600000000000000e+04,7.756122089631396648e+02,1.155926678916932531e+02
1.006000000000000000e+04,7.757037137176937449e+02,1.156247915746315726e+02
1.006400000000000000e+04,7.757969051404345464e+02,1.156568097398328234e+02
1.006800000000000000e+04,7.758826658720698788e+02,1.156867320594485022e+02
1.007200000000000000e+04,7.759796293354513637e+02,1.157178589039912282e+02
1.007600000000000000e+04,7.760602567156279292e+02,1.157473983108098707e+02
1.008000000000000000e+04,7.761501957671958962e+02,1.157751322386080801e+02
1.008400000000000000e+04,7.762295676318923370e+02,1.158038020691331695e+02
1.008800000000000000e+04,7.763177795400474679e+02,1.158326593156203757e+02
1.009200000000000000e+04,7.764056242568371999e+02,1.158615299814296691e+02
1.009600000000000000e+04,7.764888774432117771e+02,1.158919286604343597e+02
1.010000000000000000e+04,7.765653676567657158e+02,1.159182471903019263e+02
1.010400000000000000e+04,7.766529242544207818e+02,1.159466440526855564e+02
1.010800000000000000e+04,7.767435377918479844e+02,1.159749058029806861e+02
1.011200000000000000e+04,7.768290638185653734e+02,1.160025211210111138e+02
1.011600000000000000e+04,7.769063028865164142e+02,1.160317551343919007e+02
1.012000000000000000e+04,7.769784308300394287e+02,1.160596023422427692e+02
1.012400000000000000e+04,7.770597247464769453e+02,1.160840402792144062e+02
1.012800000000000000e+04,7.771376882569772988e+02,1.161096451732422565e+02
1.013200000000000000e+04,7.772190485590208482e+02,1.161350215430915114e+02
1.013600000000000000e+04,7.772956669297553844e+02,1.161597825871589009e+02
1.014000000000000000e+04,7.773716568047336750e+02,1.161842491355070877e+02
1.014400000000000000e+04,7.774537526288116851e+02,1.162079741561962578e+02
1.014800000000000000e+04,7.775375141242936934e+02,1.162350896645928913e+02
1.015200000000000000e+04,7.776182663514579190e+02,1.162638153882140557e+02
1.015600000000000000e+04,7.776991492713666503e+02,1.162904696813845931e+02
1.016000000000000000e+04,7.777820328083990944e+02,1.163167775407132609e+02
1.016400000000000000e+04,7.778695238095239120e+02,1.163440124904810347e+02
1.016800000000000000e+04,7.779558707054811748e+02,1.163701408133525632e+02
1.017200000000000000e+04,7.780416804299383102e+02,1.163965541058925055e+02
1.017600000000000000e+04,7.781266181865828457e+02,1.164228170800013515e+02
1.018000000000000000e+04,7.782038650949574503e+02,1.164520127117237962e+02
1.018400000000000000e+04,7.782790730557737788e+02,1.164789346530010903e+02
