t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
1.811200000000000000e+04,7.108248214811542509e-02,4.911357540938499381e-04,7.145849344817431503e-02,6.485485945281819868e-04
1.811600000000000000e+04,7.108190825789358069e-02,4.911093828650857623e-04,7.145805181423420249e-02,6.488760998655345152e-04
1.812000000000000000e+04,7.108143763796909154e-02,4.910863158953939975e-04,7.145772259013982719e-02,6.490967215777560364e-04
1.812400000000000000e+04,7.108112447583314619e-02,4.910602466689289666e-04,7.145747443537113497e-02,6.493247187435924805e-04
1.812800000000000000e+04,7.108065147837600017e-02,4.910065589375684240e-04,7.145701217269784244e-02,6.495387634476943459e-04
1.813200000000000000e+04,7.108046087947642033e-02,4.910278527411764994e-04,7.145665857783660424e-02,6.497784245155660901e-04
1.813600000000000000e+04,7.108002315835906804e-02,4.909610744463742404e-04,7.145608182620202808e-02,6.500378017336449783e-04
1.814000000000000000e+04,7.107940830576993385e-02,4.908771290027116397e-04,7.145528390297686827e-02,6.502641536281688955e-04
1.814400000000000000e+04,7.107898295120516907e-02,4.907835598026745461e-04,7.145474996325690276e-02,6.505653498842949066e-04
1.814800000000000000e+04,7.107845951803688778e-02,4.907746442131225451e-04,7.145410972742635702e-02,6.508664203782136290e-04
1.815200000000000000e+04,7.107802905097694579e-02,4.907159463581663855e-04,7.145351476421331338e-02,6.511140642909373204e-04
1.815600000000000000e+04,7.107750789454359008e-02,4.906264761511684898e-04,7.145278053168832577e-02,6.512931103614507181e-04
1.816000000000000000e+04,7.107737701908957428e-02,4.906517564310890330e-04,7.145246787812041533e-02,6.514286722153835203e-04
1.816400000000000000e+04,7.107696267341995222e-02,4.905982958622557774e-04,7.145195992072231328e-02,6.516541962526346864e-04
1.816800000000000000e+04,7.107674299134007778e-02,4.905658252503484074e-04,7.145157786584471760e-02,6.519172551314089594e-04
1.817200000000000000e+04,7.107614003228410193e-02,4.905695468351184722e-04,7.145087130383739882e-02,6.521402458588680413e-04
1.817600000000000000e+04,7.107583718456572663e-02,4.905174926476003330e-04,7.145048140404929027e-02,6.523502519092888932e-04
1.818000000000000000e+04,7.107564906490647372e-02,4.904982532314242387e-04,7.145018151815181462e-02,6.525047013330783491e-04
1.818400000000000000e+04,7.107523188884001808e-02,4.904161755532169577e-04,7.144968470450213660e-02,6.527550725214661346e-04
