r_value,n_plus,n_minus,probability
0.15,176.28,367.74,0.0
0.15,176.28,394.97999999999996,0.0
0.15,176.28,422.21999999999997,0.0
0.15,176.28,449.46,0.0
0.15,176.28,476.7,0.0
0.15,176.28,503.93999999999994,0.0
0.15,176.28,531.18,0.0
0.15,176.28,558.42,0.0
0.15,176.28,585.66,0.0
0.15,176.28,612.9,0.0
0.15,176.28,640.14,0.0
0.15,176.28,667.38,0.0
0.15,203.4,13.62,0.0
0.15,203.4,40.86,0.0
0.15,203.4,68.1,0.0
0.15,203.4,95.34,0.0
0.15,203.4,122.57999999999998,0.0
0.15,203.4,149.82,0.0
0.15,203.4,177.06,0.0
0.15,203.4,204.29999999999998,0.0
0.15,203.4,231.54,0.0
0.15,203.4,258.78,0.0
0.15,203.4,286.02,0.0
0.15,203.4,313.26,0.0
0.15,203.4,340.5,0.0
0.15,203.4,367.74,0.0
0.15,203.4,394.97999999999996,0.0
0.15,203.4,422.21999999999997,0.0
0.15,203.4,449.46,0.0
0.15,203.4,476.7,0.0
0.15,203.4,503.93999999999994,0.0
0.15,203.4,531.18,0.0
0.15,203.4,558.42,0.0
0.15,203.4,585.66,0.0
0.15,203.4,612.9,0.0
0.15,203.4,640.14,0.0
0.15,203.4,667.38,0.0
0.15,230.52,13.62,0.0
0.15,230.52,40.86,0.0
0.15,230.52,68.1,0.0
0.15,230.52,95.34,0.0
0.15,230.52,122.57999999999998,0.0
0.15,230.52,149.82,0.0
0.15,230.52,177.06,0.0
0.15,230.52,204.29999999999998,0.0
0.15,230.52,231.54,0.0
0.15,230.52,258.78,0.0
0.15,230.52,286.02,0.0
0.15,230.52,313.26,0.0
0.15,230.52,340.5,0.0
0.15,230.52,367.74,0.0
0.15,230.52,394.97999999999996,0.0
0.15,230.52,422.21999999999997,0.0
0.15,230.52,449.46,0.0
0.15,230.52,476.7,0.0
0.15,230.52,503.93999999999994,0.0
0.15,230.52,531.18,0.0
0.15,230.52,558.42,0.0
0.15,230.52,585.66,0.0
0.15,230.52,612.9,0.0
0.15,230.52,640.14,0.0
0.15,230.52,667.38,0.0
0.15,257.64,13.62,0.0
0.15,257.64,40.86,0.0
0.15,257.64,68.1,0.0
0.15,257.64,95.34,0.0
0.15,257.64,122.57999999999998,0.0
0.15,257.64,149.82,0.0
0.15,257.64,177.06,0.0
0.15,257.64,204.29999999999998,0.0
0.15,257.64,231.54,0.0
0.15,257.64,258.78,1.992452589590631e-06
0.15,257.64,286.02,0.0
0.15,257.64,313.26,0.0
0.15,257.64,340.5,0.0
0.15,257.64,367.74,0.0
0.15,257.64,394.97999999999996,0.0
0.15,257.64,422.21999999999997,0.0
0.15,257.64,449.46,0.0
0.15,257.64,476.7,0.0
0.15,257.64,503.93999999999994,0.0
0.15,257.64,531.18,0.0
0.15,257.64,558.42,0.0
0.15,257.64,585.66,0.0
0.15,257.64,612.9,0.0
0.15,257.64,640.14,0.0
0.15,257.64,667.38,0.0
0.15,284.76,13.62,0.0
0.15,284.76,40.86,0.0
0.15,284.76,68.1,0.0
0.15,284.76,95.34,0.0
0.15,284.76,122.57999999999998,0.0
0.15,284.76,149.82,0.0
0.15,284.76,177.06,0.0
0.15,284.76,204.29999999999998,0.0
0.15,284.76,231.54,0.0
0.15,284.76,258.78,0.0
0.15,284.76,286.02,0.0
0.15,284.76,313.26,0.0
0.15,284.76,340.5,0.0
0.15,284.76,367.74,0.0
0.15,284.76,394.97999999999996,0.0
0.15,284.76,422.21999999999997,0.0
0.15,284.76,449.46,0.0
0.15,284.76,476.7,0.0
0.15,284.76,503.93999999999994,0.0
0.15,284.76,531.18,0.0
0.15,284.76,558.42,0.0
0.15,284.76,585.66,0.0
0.15,284.76,612.9,0.0
0.15,284.76,640.14,0.0
0.15,284.76,667.38,0.0
0.15,311.88,13.62,0.0
0.15,311.88,40.86,0.0
0.15,311.88,68.1,0.0
0.15,311.88,95.34,0.0
0.15,311.88,122.57999999999998,0.0
0.15,311.88,149.82,0.0
0.15,311.88,177.06,0.0
0.15,311.88,204.29999999999998,0.0
0.15,311.88,231.54,0.0
0.15,311.88,258.78,0.0
0.15,311.88,286.02,0.0
0.15,311.88,313.26,0.0
0.15,311.88,340.5,0.0
0.15,311.88,367.74,0.0
0.15,311.88,394.97999999999996,0.0
0.15,311.88,422.21999999999997,0.0
0.15,311.88,449.46,0.0
0.15,311.88,476.7,0.0
0.15,311.88,503.93999999999994,0.0
0.15,311.88,531.18,0.0
0.15,311.88,558.42,0.0
0.15,311.88,585.66,0.0
0.15,311.88,612.9,0.0
0.15,311.88,640.14,0.0
0.15,311.88,667.38,0.0
0.15,339.0,13.62,0.0
0.15,339.0,40.86,0.0
0.15,339.0,68.1,0.0
0.15,339.0,95.34,0.0
0.15,339.0,122.57999999999998,0.0
0.15,339.0,149.82,0.0
0.15,339.0,177.06,0.0
0.15,339.0,204.29999999999998,0.0
0.15,339.0,231.54,0.0
0.15,339.0,258.78,0.0
0.15,339.0,286.02,0.0
0.15,339.0,313.26,1.992452589590631e-06
0.15,339.0,340.5,1.992452589590631e-06
0.15,339.0,367.74,0.0
0.15,339.0,394.97999999999996,0.0
