t,D_solv_mean,D_solv_err
5.476000000000000000e+03,3.925392317993669500e-01,5.886140747837746582e-04
5.480000000000000000e+03,3.925374999999999281e-01,5.886993087486087472e-04
5.484000000000000000e+03,3.925358315098468331e-01,5.889944989155006206e-04
5.488000000000000000e+03,3.925348639455782940e-01,5.890157477154790754e-04
5.492000000000000000e+03,3.925336246661810802e-01,5.891521685359869375e-04
5.496000000000000000e+03,3.925332666181465813e-01,5.895531051415992419e-04
5.500000000000000000e+03,3.925316060606059976e-01,5.894645038385129500e-04
5.504000000000000000e+03,3.925303415697674603e-01,5.895382791535790697e-04
5.508000000000000000e+03,3.925294117647058489e-01,5.896948486168637196e-04
5.512000000000000000e+03,3.925278785679728877e-01,5.897255432820724692e-04
5.516000000000000000e+03,3.925267706067198104e-01,5.899796994691325954e-04
5.520000000000000000e+03,3.925254227053139866e-01,5.902216903393446481e-04
5.524000000000000000e+03,3.925248913830556852e-01,5.900260092786058837e-04
5.528000000000000000e+03,3.925233357452966865e-01,5.903990392680989957e-04
5.532000000000000000e+03,3.925218426126778071e-01,5.902892728560574362e-04
5.536000000000000000e+03,3.925212247109826635e-01,5.904127465873341757e-04
5.540000000000000000e+03,3.925197352587244670e-01,5.907463971100223405e-04
5.544000000000000000e+03,3.925187590187589892e-01,5.910400723070943730e-04
5.548000000000000000e+03,3.925182047584714895e-01,5.909655862456965640e-04
5.552000000000000000e+03,3.925157300672429961e-01,5.913008863630327822e-04
5.556000000000000000e+03,3.925147888168946664e-01,5.912308223031116595e-04
5.560000000000000000e+03,3.925144784172662216e-01,5.914193818488102045e-04
5.564000000000000000e+03,3.925121615144979703e-01,5.914270782170499710e-04
5.568000000000000000e+03,3.925114643199233422e-01,5.916092840807987002e-04
5.572000000000000000e+03,3.925103194544148910e-01,5.916611269008699653e-04
5.576000000000000000e+03,3.925089968914394767e-01,5.918643676622034134e-04
5.580000000000000000e+03,3.925075567502986917e-01,5.919155762582456980e-04
5.584000000000000000e+03,3.925063872970391277e-01,5.917058696355274221e-04
5.588000000000000000e+03,3.925056669052732206e-01,5.920210400608024153e-04
5.592000000000000000e+03,3.925038149737720139e-01,5.921010648187908934e-04
5.596000000000000000e+03,3.925025613533476010e-01,5.921467480366018367e-04
5.600000000000000000e+03,3.925017261904762411e-01,5.922761188504648217e-04
5.604000000000000000e+03,3.925002081846299951e-01,5.923911913793085057e-04
5.608000000000000000e+03,3.924989895387541727e-01,5.925473086998572520e-04
5.612000000000000000e+03,3.924983071988595862e-01,5.926757354670436845e-04
5.616000000000000000e+03,3.924960529439696089e-01,5.924802197861214238e-04
5.620000000000000000e+03,3.924950474495848551e-01,5.928897488604844548e-04
5.624000000000000000e+03,3.924942211948790893e-01,5.927430641293314701e-04
5.628000000000000000e+03,3.924938107083629224e-01,5.929324258768921361e-04
5.632000000000000000e+03,3.924918619791666896e-01,5.931186836696209245e-04
5.636000000000000000e+03,3.924908918854980167e-01,5.930151253565636845e-04
5.640000000000000000e+03,3.924901300236406376e-01,5.932174808876240421e-04
5.644000000000000000e+03,3.924885424049137095e-01,5.934084243812409992e-04
5.648000000000000000e+03,3.924870455618507115e-01,5.935722407048676062e-04
5.652000000000000000e+03,3.924859636706769517e-01,5.935352727751563731e-04
5.656000000000000000e+03,3.924855315888732266e-01,5.937605535116967977e-04
5.660000000000000000e+03,3.924842461719670328e-01,5.938426137807630012e-04
5.664000000000000000e+03,3.924829919962335434e-01,5.940548024233237518e-04
5.668000000000000000e+03,3.924815925664549843e-01,5.941301201290128623e-04
5.672000000000000000e+03,3.924805771039022173e-01,5.943389758364595174e-04
5.676000000000000000e+03,3.924792400751703214e-01,5.944131364569978440e-04
5.680000000000000000e+03,3.924781690140844992e-01,5.943145155352686382e-04
5.684000000000000000e+03,3.924770114942529586e-01,5.943542366604575699e-04
5.688000000000000000e+03,3.924765002344116072e-01,5.943159798095475066e-04
5.692000000000000000e+03,3.924759018505504793e-01,5.944415856043343618e-04
5.696000000000000000e+03,3.924749531835206029e-01,5.948010507750653040e-04
5.700000000000000000e+03,3.924734795321637715e-01,5.947942998785924959e-04
5.704000000000000000e+03,3.924726507713884871e-01,5.948122418912270021e-04
5.708000000000000000e+03,3.924719983648680133e-01,5.950202738438872688e-04
5.712000000000000000e+03,3.924712301587301999e-01,5.950303448157620708e-04
5.716000000000000000e+03,3.924709295544669962e-01,5.948662258067545809e-04
5.720000000000000000e+03,3.924693473193473503e-01,5.949154234487682427e-04
5.724000000000000000e+03,3.924681167016073058e-01,5.951319210437894594e-04
5.728000000000000000e+03,3.924671205772812255e-01,5.952579360418043660e-04
5.732000000000000000e+03,3.924666492207490309e-01,5.955246547203045006e-04
5.736000000000000000e+03,3.924654521152952102e-01,5.954824281463243175e-04
5.740000000000000000e+03,3.924644599303135917e-01,5.957434474474792739e-04
5.744000000000000000e+03,3.924640784586814757e-01,5.957912774027491294e-04
5.748000000000000000e+03,3.924631466017166059e-01,5.956902313858872949e-04
5.752000000000000000e+03,3.924617234585071612e-01,5.961227058657470740e-04
5.756000000000000000e+03,3.924608234885337277e-01,5.960529806596599409e-04
5.760000000000000000e+03,3.924600983796296960e-01,5.962040892320561239e-04
5.764000000000000000e+03,3.924592007864908250e-01,5.963007152343397649e-04
5.768000000000000000e+03,3.924587378640777002e-01,5.964285262469016082e-04
5.772000000000000000e+03,3.924579868329868271e-01,5.966831763474073590e-04
5.776000000000000000e+03,3.924561403508771695e-01,5.968190857207055508e-04
5.780000000000000000e+03,3.924555651672433365e-01,5.965183314894399388e-04
5.784000000000000000e+03,3.924549043337943188e-01,5.967051973214437983e-04
5.788000000000000000e+03,3.924537260999769739e-01,5.965852990402416333e-04
5.792000000000000000e+03,3.924529523480663751e-01,5.967427760512329735e-04
5.796000000000000000e+03,3.924521509086725812e-01,5.969541659478838158e-04
5.800000000000000000e+03,3.924515804597700774e-01,5.967950280614408741e-04
5.804000000000000000e+03,3.924507810705261113e-01,5.966065804712548980e-04
5.808000000000000000e+03,3.924493801652891856e-01,5.968228926740547918e-04
5.812000000000000000e+03,3.924490422115164412e-01,5.966884741784628287e-04
5.816000000000000000e+03,3.924475584594223077e-01,5.969585930500745157e-04
5.820000000000000000e+03,3.924473940435280750e-01,5.967447771297604633e-04
5.824000000000000000e+03,3.924463427197802390e-01,5.969095304462216289e-04
5.828000000000000000e+03,3.924460649736902784e-01,5.967419476979109487e-04
5.832000000000000000e+03,3.924451588934613211e-01,5.966909937834686921e-04
5.836000000000000000e+03,3.924439399131825490e-01,5.968052255398310088e-04
5.840000000000000000e+03,3.924432933789954170e-01,5.968125193463793285e-04
5.844000000000000000e+03,3.924421343828428110e-01,5.966234998113730719e-04
5.848000000000000000e+03,3.924414044687642433e-01,5.968324999559532044e-04
5.852000000000000000e+03,3.924406185919343537e-01,5.966117362459410958e-04
5.856000000000000000e+03,3.924398622495446354e-01,5.966100113456351741e-04
5.860000000000000000e+03,3.924385949943117735e-01,5.966287899220870314e-04
5.864000000000000000e+03,3.924381252842201184e-01,5.965162787247395293e-04
5.868000000000000000e+03,3.924375142013178941e-01,5.963614752120166606e-04
5.872000000000000000e+03,3.924363930517711374e-01,5.964550765565281194e-04
5.876000000000000000e+03,3.924361527115952097e-01,5.962540606924152326e-04
5.880000000000000000e+03,3.924356575963718896e-01,5.961399768080021932e-04
5.884000000000000000e+03,3.924347949240878930e-01,5.961585329278788628e-04
5.888000000000000000e+03,3.924343580163043854e-01,5.963449746179584491e-04
5.892000000000000000e+03,3.924342045711698979e-01,5.960523423899579841e-04
5.896000000000000000e+03,3.924326662143826638e-01,5.963191951517819896e-04
5.900000000000000000e+03,3.924322881355931658e-01,5.958932697754872228e-04
5.904000000000000000e+03,3.924305273261065596e-01,5.961612466019582546e-04
5.908000000000000000e+03,3.924304897314375706e-01,5.959745892542491104e-04
5.912000000000000000e+03,3.924297192151556812e-01,5.960201500748632921e-04
5.916000000000000000e+03,3.924291187739463171e-01,5.958247944093624090e-04
5.920000000000000000e+03,3.924278153153153426e-01,5.959399615679800534e-04
5.924000000000000000e+03,3.924272451046589838e-01,5.959330545249384801e-04
5.928000000000000000e+03,3.924264788573998963e-01,5.958339017406167866e-04
5.932000000000000000e+03,3.924253202966958565e-01,5.957229421035050440e-04
5.936000000000000000e+03,3.924245563791554092e-01,5.956130118501776769e-04
5.940000000000000000e+03,3.924233164983164657e-01,5.955155328131464879e-04
5.944000000000000000e+03,3.924232279048900929e-01,5.954084508841032356e-04
5.948000000000000000e+03,3.924219065232011361e-01,5.953593738104149711e-04
5.952000000000000000e+03,3.924210069444444282e-01,5.954643965758758470e-04
5.956000000000000000e+03,3.924206962167002266e-01,5.953920015970071752e-04
5.960000000000000000e+03,3.924198825503355526e-01,5.952857615387050112e-04
5.964000000000000000e+03,3.924184272300469400e-01,5.951787791937686702e-04
5.968000000000000000e+03,3.924182026362824094e-01,5.951767519330254967e-04
5.972000000000000000e+03,3.924170015628488661e-01,5.951202499324631610e-04
5.976000000000000000e+03,3.924164714413208577e-01,5.952572113499809969e-04
5.980000000000000000e+03,3.924151337792641803e-01,5.952003804945664575e-04
5.984000000000000000e+03,3.924140764260248826e-01,5.952932972702784827e-04
5.988000000000000000e+03,3.924130204854153203e-01,5.953332158964508639e-04
5.992000000000000000e+03,3.924126335113484187e-01,5.951602452815638999e-04
5.996000000000000000e+03,3.924113297754058816e-01,5.953192038246375847e-04
6.000000000000000000e+03,3.924109999999999543e-01,5.953088027609871463e-04
6.004000000000000000e+03,3.924104485898290418e-01,5.951309773648438177e-04
6.008000000000000000e+03,3.924088992454505265e-01,5.952121377403856318e-04
6.012000000000000000e+03,3.924069915724107682e-01,5.952782250359157663e-04
6.016000000000000000e+03,3.924068594858155512e-01,5.953987248217648036e-04
6.020000000000000000e+03,3.924060908084164301e-01,5.952453732589650746e-04
6.024000000000000000e+03,3.924048528109783662e-01,5.953231401701067826e-04
6.028000000000000000e+03,3.924041694315417717e-01,5.951805890471631010e-04
6.032000000000000000e+03,3.924033211759505035e-01,5.951999147800607608e-04
6.036000000000000000e+03,3.924020322509387815e-01,5.951572464981039591e-04
6.040000000000000000e+03,3.924012969094922143e-01,5.950035608445606618e-04
6.044000000000000000e+03,3.924001489080079508e-01,5.951379980926854631e-04
6.048000000000000000e+03,3.923995811287478430e-01,5.951655787818072420e-04
6.052000000000000000e+03,3.923985459352280492e-01,5.950011036629845049e-04
6.056000000000000000e+03,3.923967415235579126e-01,5.951715840905163210e-04
6.060000000000000000e+03,3.923963421342133717e-01,5.951276607827802548e-04
6.064000000000000000e+03,3.923956409410729318e-01,5.948348225602164774e-04
6.068000000000000000e+03,3.923958470665788179e-01,5.948315239738579925e-04
6.072000000000000000e+03,3.923945707070706779e-01,5.948645402483344197e-04
6.076000000000000000e+03,3.923929394338380172e-01,5.945019455267154009e-04
6.080000000000000000e+03,3.923927357456140075e-01,5.943839927887210016e-04
6.084000000000000000e+03,3.923916831032215891e-01,5.943186706995328425e-04
6.088000000000000000e+03,3.923906865965834379e-01,5.943152831491404098e-04
6.092000000000000000e+03,3.923902385642372148e-01,5.942392450254440402e-04
6.096000000000000000e+03,3.923889435695538386e-01,5.939544535684108560e-04
6.100000000000000000e+03,3.923883060109290000e-01,5.938887293206720954e-04
6.104000000000000000e+03,3.923875054608999546e-01,5.941049138614594091e-04
6.108000000000000000e+03,3.923864330932110844e-01,5.938080164117018897e-04
6.112000000000000000e+03,3.923854439354275692e-01,5.937487799970040054e-04
6.116000000000000000e+03,3.923849738391105291e-01,5.938718925056765078e-04
6.120000000000000000e+03,3.923839324618736413e-01,5.936715052420579774e-04
6.124000000000000000e+03,3.923837361201828466e-01,5.935949514555508705e-04
