cluster_size, probability, probability_err
1.701000000000000000e+03,1.336112447223333186e-05,1.336112447223333186e-05
1.706000000000000000e+03,8.479175145841667000e-06,8.479175145841665306e-06
1.710000000000000000e+03,7.936507936507936162e-06,7.936507936507937856e-06
1.720000000000000000e+03,1.181027966742222164e-05,1.181027966742222503e-05
1.722000000000000000e+03,1.377865961198888727e-05,1.377865961198888727e-05
1.723000000000000000e+03,1.336112447223333186e-05,1.336112447223333186e-05
1.726000000000000000e+03,1.407182258245555683e-05,1.407182258245555853e-05
1.727000000000000000e+03,8.065556846044652045e-06,8.065556846044653739e-06
1.733000000000000000e+03,1.160308177851111122e-05,1.160308177851111122e-05
1.736000000000000000e+03,2.235044710771389061e-05,1.149056834710132059e-05
1.738000000000000000e+03,2.094210068346666754e-05,1.059474614745620451e-05
1.739000000000000000e+03,1.160308177851111122e-05,1.160308177851111122e-05
1.743000000000000000e+03,1.996567909794999912e-05,1.996567909795000250e-05
1.744000000000000000e+03,1.224769743287777819e-05,1.224769743287777650e-05
1.746000000000000000e+03,2.633970832898888399e-05,1.318207268730556130e-05
1.747000000000000000e+03,4.308644432761111570e-05,2.204571798836271998e-05
1.748000000000000000e+03,3.533533808849999888e-05,3.734724788278468995e-06
1.749000000000000000e+03,9.539072039066667181e-06,9.539072039066667181e-06
1.750000000000000000e+03,2.398097147891111068e-05,2.398097147891111407e-05
1.751000000000000000e+03,3.666997016890000024e-05,2.025807360575741255e-05
1.752000000000000000e+03,3.769463371961111133e-05,2.142230505436625428e-05
1.754000000000000000e+03,9.726112667283332770e-06,9.726112667283334464e-06
1.757000000000000000e+03,5.779057112989047901e-05,1.111308990692010476e-05
1.758000000000000000e+03,3.531802005347499688e-05,2.493582738408229645e-06
1.760000000000000000e+03,1.336112447223333186e-05,1.336112447223333186e-05
1.761000000000000000e+03,1.363661157475555579e-05,1.363661157475555749e-05
1.763000000000000000e+03,2.547521066038888529e-05,2.547521066038888868e-05
1.764000000000000000e+03,4.496371579666111644e-05,2.269872099950387669e-05
1.765000000000000000e+03,2.950254175743333420e-05,1.507111642697146598e-05
1.766000000000000000e+03,2.110245165800277546e-05,1.081303612162722590e-05
1.767000000000000000e+03,2.284185957653888798e-05,1.164004932012501583e-05
1.768000000000000000e+03,4.826541226241943991e-05,1.434071367406528255e-05
1.769000000000000000e+03,2.129429212762500053e-05,2.129429212762499714e-05
1.770000000000000000e+03,2.484532907812222154e-05,1.242636047741996554e-05
1.771000000000000000e+03,1.284224585194444432e-05,1.284224585194444601e-05
1.772000000000000000e+03,3.510067594597222223e-05,2.443623532940936728e-06
1.773000000000000000e+03,3.342123184851666023e-05,1.768903512149947181e-05
1.774000000000000000e+03,2.480231166815555514e-05,2.480231166815555514e-05
1.775000000000000000e+03,8.052459285291110815e-05,6.103442938451623641e-05
1.776000000000000000e+03,4.259525466188888825e-05,2.182541710166490854e-05
1.777000000000000000e+03,3.534601076553333179e-05,1.848952762853000082e-05
1.778000000000000000e+03,5.786740189326667233e-05,3.308008119496398241e-05
1.779000000000000000e+03,1.453572882143333343e-05,1.453572882143333174e-05
1.780000000000000000e+03,5.977710609466666924e-05,9.089024137882668815e-06
1.781000000000000000e+03,2.222931603420277827e-05,1.140759638058866063e-05
1.782000000000000000e+03,2.659401022706666718e-05,2.659401022706666718e-05
1.783000000000000000e+03,7.267720053803611009e-05,2.093037901181306836e-05
1.784000000000000000e+03,4.747763707077222055e-05,2.474104806401101548e-05
