timestep,H(t)_mean,H(t)_err
1.319999999999999929e+01,9.942519999999999136e-02,1.864799892749891040e-03
1.359999999999999964e+01,9.518599999999999284e-02,3.020477131183086240e-03
1.400000000000000000e+01,9.073839999999999684e-02,4.076559892850832763e-03
1.440000000000000036e+01,9.146879999999998900e-02,2.148009017671945273e-03
1.480000000000000071e+01,8.892500000000000404e-02,2.104012880188712003e-03
1.519999999999999929e+01,8.635940000000000283e-02,5.147995800309088793e-03
1.559999999999999964e+01,8.538300000000000056e-02,6.052116018385634774e-03
1.600000000000000000e+01,7.565940000000000165e-02,3.915983485664873386e-03
1.639999999999999858e+01,7.270079999999999598e-02,4.486281716522047373e-03
1.680000000000000071e+01,7.527399999999999369e-02,2.784239824440416095e-03
1.719999999999999929e+01,7.051140000000000185e-02,2.368741661726748212e-03
1.760000000000000142e+01,6.810940000000000050e-02,2.153390805218597347e-03
1.800000000000000000e+01,6.364559999999999662e-02,2.866896939200990271e-03
1.839999999999999858e+01,6.423179999999999168e-02,3.829699836801835067e-03
1.880000000000000071e+01,6.251880000000001325e-02,4.978024521835946146e-03
1.919999999999999929e+01,6.571079999999999977e-02,2.492551973379893149e-03
1.960000000000000142e+01,6.239499999999999907e-02,3.974814901350751974e-03
2.000000000000000000e+01,6.197779999999999262e-02,3.297259731959253492e-03
2.039999999999999858e+01,5.671119999999999634e-02,1.886044628316094814e-03
2.080000000000000071e+01,5.680419999999999220e-02,2.628594841355359236e-03
2.119999999999999929e+01,5.706379999999999786e-02,5.340112839631761844e-03
2.160000000000000142e+01,5.948200000000000015e-02,4.249810619309995346e-03
2.200000000000000000e+01,5.871340000000000586e-02,5.486451098843405511e-03
2.239999999999999858e+01,5.935980000000000423e-02,4.321744964710434560e-03
2.280000000000000071e+01,5.915419999999999012e-02,5.192883682502430140e-03
2.319999999999999929e+01,5.655099999999999710e-02,5.124186725715602388e-03
2.360000000000000142e+01,5.341179999999999539e-02,5.791294815496790538e-03
2.400000000000000000e+01,4.718540000000000234e-02,5.526088794074883286e-03
2.439999999999999858e+01,4.948799999999999727e-02,6.033655798933179777e-03
2.480000000000000071e+01,4.945119999999999377e-02,3.177005026750823451e-03
2.519999999999999929e+01,4.949079999999999452e-02,3.725709266703454686e-03
2.560000000000000142e+01,5.335279999999999884e-02,2.263460081379833552e-03
2.600000000000000000e+01,5.478880000000000555e-02,3.706187426453227875e-03
2.639999999999999858e+01,4.818399999999999767e-02,3.300325589998658656e-03
2.680000000000000071e+01,4.942499999999999671e-02,3.905257392285429920e-03
2.719999999999999929e+01,4.658599999999999547e-02,1.980328987819953389e-03
2.760000000000000142e+01,3.884939999999999921e-02,1.704777979679464707e-03
2.800000000000000000e+01,3.795160000000000200e-02,3.404516832092330594e-03
2.839999999999999858e+01,3.649820000000000147e-02,3.070636080684261207e-03
