t,sigma_avg,sigma_err
1.084800000000000000e+04,9.276468146970255901e+00,2.424391920766427955e+00
1.085200000000000000e+04,9.278129377073350170e+00,2.425219341419261099e+00
1.085600000000000000e+04,9.279785871100465044e+00,2.426057214814108409e+00
1.086000000000000000e+04,9.281496623695520753e+00,2.426890096165759125e+00
1.086400000000000000e+04,9.283202051116838049e+00,2.427687936115380918e+00
1.086800000000000000e+04,9.284890580910317937e+00,2.428466234299462290e+00
1.087200000000000000e+04,9.286675787956831130e+00,2.429291276683970491e+00
1.087600000000000000e+04,9.288442193055045593e+00,2.430122430910329090e+00
1.088000000000000000e+04,9.290156135110294144e+00,2.430973773595887621e+00
1.088400000000000000e+04,9.291909109702315206e+00,2.431811539514427967e+00
1.088800000000000000e+04,9.293743896185400644e+00,2.432676598760131093e+00
1.089200000000000000e+04,9.295511422756762343e+00,2.433530739848710933e+00
1.089600000000000000e+04,9.297213465186001002e+00,2.434410978568030348e+00
1.090000000000000000e+04,9.298956422018347823e+00,2.435275252727033823e+00
1.090400000000000000e+04,9.300735089569577951e+00,2.436125305366064975e+00
1.090800000000000000e+04,9.302563141730841423e+00,2.436975576806022836e+00
1.091200000000000000e+04,9.304480999511241635e+00,2.437808104141789389e+00
1.091600000000000000e+04,9.306318515634542266e+00,2.438597480420154451e+00
1.092000000000000000e+04,9.308207608363858299e+00,2.439419894295143276e+00
1.092400000000000000e+04,9.310157241700231623e+00,2.440276894560599263e+00
1.092800000000000000e+04,9.312045605325769415e+00,2.441101351096076844e+00
1.093200000000000000e+04,9.313928127668008372e+00,2.441895987639425059e+00
1.093600000000000000e+04,9.315770581870275180e+00,2.442698223027446325e+00
1.094000000000000000e+04,9.317739373857403251e+00,2.443515176401813260e+00
1.094400000000000000e+04,9.319628582632796920e+00,2.444304573462476426e+00
1.094800000000000000e+04,9.321514412830348206e+00,2.445137317122335840e+00
1.095200000000000000e+04,9.323345108199415421e+00,2.445951258219022595e+00
1.095600000000000000e+04,9.325141227789947251e+00,2.446759895592500289e+00
1.096000000000000000e+04,9.326881329835764234e+00,2.447577833103419920e+00
1.096400000000000000e+04,9.328590538732822068e+00,2.448402362853832059e+00
1.096800000000000000e+04,9.330269876002917684e+00,2.449226004494166720e+00
1.097200000000000000e+04,9.332053047909830923e+00,2.450072739535673172e+00
1.097600000000000000e+04,9.333748120900146716e+00,2.450897671171224701e+00
1.098000000000000000e+04,9.335353047207043176e+00,2.451758689534484947e+00
1.098400000000000000e+04,9.337018617989805591e+00,2.452628393320330336e+00
1.098800000000000000e+04,9.338639841948793929e+00,2.453486094516216909e+00
1.099200000000000000e+04,9.340330770863658927e+00,2.454365901347710821e+00
1.099600000000000000e+04,9.342034262459076643e+00,2.455230316150793346e+00
1.100000000000000000e+04,9.343796098484849821e+00,2.456148655383698642e+00
1.100400000000000000e+04,9.345447337331878046e+00,2.457061131677588772e+00
1.100800000000000000e+04,9.347064123819041725e+00,2.458016929955158414e+00
1.101200000000000000e+04,9.348683992462769154e+00,2.458942784957211636e+00
1.101600000000000000e+04,9.350225467501815046e+00,2.459829007732075912e+00
1.102000000000000000e+04,9.351550703266788389e+00,2.460732290868114625e+00
1.102400000000000000e+04,9.353040449625058983e+00,2.461595544467260588e+00
1.102800000000000000e+04,9.354364213063714573e+00,2.462402014614033519e+00
1.103200000000000000e+04,9.355756152556200078e+00,2.463264512677928675e+00
1.103600000000000000e+04,9.357192672465867389e+00,2.464110476169754094e+00
1.104000000000000000e+04,9.358598580917872667e+00,2.464918704149974271e+00
1.104400000000000000e+04,9.360009167873959868e+00,2.465732689773568520e+00
1.104800000000000000e+04,9.361443473931933212e+00,2.466541737012139635e+00
1.105200000000000000e+04,9.362874065025939885e+00,2.467334405532285668e+00
1.105600000000000000e+04,9.364340874487457000e+00,2.468141313343458876e+00
1.106000000000000000e+04,9.365793343128391513e+00,2.468972124188951955e+00
1.106400000000000000e+04,9.367261087008918352e+00,2.469830300020166458e+00
1.106800000000000000e+04,9.368766018401398554e+00,2.470695003993572225e+00
1.107200000000000000e+04,9.370306949211222758e+00,2.471548040393429790e+00
1.107600000000000000e+04,9.371838697785001671e+00,2.472390691741686464e+00
1.108000000000000000e+04,9.373361650120337174e+00,2.473238126860334507e+00
1.108400000000000000e+04,9.374773960964752462e+00,2.474033151276399334e+00
1.108800000000000000e+04,9.376238595027656331e+00,2.474890676362750952e+00
1.109200000000000000e+04,9.377617051328284603e+00,2.475685277228109271e+00
1.109600000000000000e+04,9.378972133351357598e+00,2.476495562525688143e+00
1.110000000000000000e+04,9.380369557057058216e+00,2.477336417045713279e+00
1.110400000000000000e+04,9.381780833483428950e+00,2.478200395697568670e+00
1.110800000000000000e+04,9.383211930590569239e+00,2.479063637126258879e+00
1.111200000000000000e+04,9.384558810295175135e+00,2.479804986748175288e+00
1.111600000000000000e+04,9.385935831983927002e+00,2.480640609946336284e+00
1.112000000000000000e+04,9.387402671612711913e+00,2.481481393043238448e+00
1.112400000000000000e+04,9.388920240021576546e+00,2.482248019815582740e+00
1.112800000000000000e+04,9.390471333572968149e+00,2.483077585113674157e+00
1.113200000000000000e+04,9.391972092466165378e+00,2.483918228876478285e+00
1.113600000000000000e+04,9.393522771491857881e+00,2.484800512426909247e+00
1.114000000000000000e+04,9.395063696888090732e+00,2.485657243634843194e+00
1.114400000000000000e+04,9.396647598109595378e+00,2.486514857780087517e+00
1.114800000000000000e+04,9.398238510644661758e+00,2.487430193049506855e+00
1.115200000000000000e+04,9.399778459020801336e+00,2.488292723312707011e+00
1.115600000000000000e+04,9.401298273724156829e+00,2.489118363383768795e+00
1.116000000000000000e+04,9.402818548387095632e+00,2.490002550805873849e+00
1.116400000000000000e+04,9.404316347933836084e+00,2.490845865672446813e+00
1.116800000000000000e+04,9.406023273340496260e+00,2.491738046374325055e+00
1.117200000000000000e+04,9.407624175766798658e+00,2.492591684504825711e+00
1.117600000000000000e+04,9.409106176181101233e+00,2.493484446467429283e+00
1.118000000000000000e+04,9.410592482856287688e+00,2.494337179821563222e+00
1.118400000000000000e+04,9.412200986528372226e+00,2.495236530162742827e+00
1.118800000000000000e+04,9.413845265760933501e+00,2.496132986343169602e+00
1.119200000000000000e+04,9.415472901030499386e+00,2.497076271874370423e+00
1.119600000000000000e+04,9.417160928010003929e+00,2.498004073443260697e+00
1.120000000000000000e+04,9.418838969494046864e+00,2.498915019174136720e+00
1.120400000000000000e+04,9.420563452040937591e+00,2.499852362367593894e+00
1.120800000000000000e+04,9.422228411997382480e+00,2.500745030146604986e+00
1.121200000000000000e+04,9.423957608663336316e+00,2.501680342948415348e+00
1.121600000000000000e+04,9.425515000891584450e+00,2.502622933989298915e+00
1.122000000000000000e+04,9.427117015745691830e+00,2.503554108102706177e+00
1.122400000000000000e+04,9.428715215906390057e+00,2.504517194460573304e+00
1.122800000000000000e+04,9.430349145736848016e+00,2.505484391523261412e+00
1.123200000000000000e+04,9.432037203970798700e+00,2.506485205873946853e+00
1.123600000000000000e+04,9.433687755873975789e+00,2.507465769048862203e+00
1.124000000000000000e+04,9.435331127669039475e+00,2.508473937934422526e+00
1.124400000000000000e+04,9.436923933505275031e+00,2.509511314855703557e+00
1.124800000000000000e+04,9.438660280346134357e+00,2.510560831965054085e+00
1.125200000000000000e+04,9.440378192025120185e+00,2.511571766745988921e+00
1.125600000000000000e+04,9.442228996387109774e+00,2.512645235329646454e+00
1.126000000000000000e+04,9.444055117673180177e+00,2.513671219986975292e+00
1.126400000000000000e+04,9.445895404237688808e+00,2.514711051260691388e+00
1.126800000000000000e+04,9.447661833658736796e+00,2.515751069423873165e+00
1.127200000000000000e+04,9.449360879465340091e+00,2.516805595808713658e+00
1.127600000000000000e+04,9.451044327184581206e+00,2.517812915557724907e+00
1.128000000000000000e+04,9.452754210992907247e+00,2.518787593082335352e+00
1.128400000000000000e+04,9.454467738242938069e+00,2.519790914633002643e+00
1.128800000000000000e+04,9.456116967871485812e+00,2.520734140058386252e+00
1.129200000000000000e+04,9.457691119819340742e+00,2.521669229313714400e+00
1.129600000000000000e+04,9.459273839559726227e+00,2.522590814372219548e+00
1.130000000000000000e+04,9.460851179941002442e+00,2.523506167593621452e+00
1.130400000000000000e+04,9.462449114620193669e+00,2.524423509133009613e+00
1.130800000000000000e+04,9.464030295660888825e+00,2.525353281175267472e+00
1.131200000000000000e+04,9.465628259812588041e+00,2.526295898328971834e+00
1.131600000000000000e+04,9.467163897725933808e+00,2.527252240858859356e+00
1.132000000000000000e+04,9.468683616755006582e+00,2.528171749364272358e+00
1.132400000000000000e+04,9.470142378282114137e+00,2.529098516326672819e+00
1.132800000000000000e+04,9.471559925258945967e+00,2.529962282779866900e+00
1.133200000000000000e+04,9.472980001323685784e+00,2.530853199182773405e+00
1.133600000000000000e+04,9.474495982562924468e+00,2.531787059515251848e+00
1.134000000000000000e+04,9.475973269400352450e+00,2.532723652009856607e+00
1.134400000000000000e+04,9.477443913081806670e+00,2.533680022241212804e+00
