t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
1.160799999999999955e+03,2.826205777624627435e-01,7.233854333769390230e-03,2.896545055134390201e-01,4.417799705692435942e-03
1.161200000000000045e+03,2.826113790331840625e-01,7.233733453246022314e-03,2.896502038121483436e-01,4.417266966432363377e-03
1.161599999999999909e+03,2.826023444674012897e-01,7.233673942098356284e-03,2.896457615932048202e-01,4.416769377573044088e-03
1.162000000000000000e+03,2.825934165232357742e-01,7.233762684531712915e-03,2.896414371772805252e-01,4.416445462990500719e-03
1.162400000000000091e+03,2.825844230328056761e-01,7.233734082671219173e-03,2.896365565496673566e-01,4.416167053134652416e-03
1.162799999999999955e+03,2.825757367274395193e-01,7.233639257876159703e-03,2.896313926155257845e-01,4.415906684531105235e-03
1.163200000000000045e+03,2.825673286336543022e-01,7.233606148125391357e-03,2.896268053645115748e-01,4.415797488943151543e-03
1.163599999999999909e+03,2.825592127878996385e-01,7.233540777402731707e-03,2.896223788243383335e-01,4.415873351509950334e-03
1.164000000000000000e+03,2.825514461626575380e-01,7.233472249526838767e-03,2.896183276059565159e-01,4.415942383328638754e-03
1.164400000000000091e+03,2.825437421275620586e-01,7.233549214405308320e-03,2.896145654414290505e-01,4.415915079399021503e-03
1.164799999999999955e+03,2.825364297161172544e-01,7.233654722690850691e-03,2.896105912316849773e-01,4.415777099605579931e-03
1.165200000000000045e+03,2.825290794141205875e-01,7.233704140670927686e-03,2.896067198764160633e-01,4.415534499836005523e-03
1.165599999999999909e+03,2.825217627545184573e-01,7.233712200560247878e-03,2.896029226721574257e-01,4.415220705902224776e-03
1.166000000000000000e+03,2.825143367638650593e-01,7.233839961249113881e-03,2.895990423098913080e-01,4.414817048431888408e-03
1.166400000000000091e+03,2.825066729538180388e-01,7.233972094360293856e-03,2.895952074759945427e-01,4.414511617148872240e-03
1.166799999999999955e+03,2.824988144212089991e-01,7.234020043791975982e-03,2.895914895440521719e-01,4.414193983717463673e-03
1.167200000000000045e+03,2.824907470870458570e-01,7.234117470759648255e-03,2.895881739776101638e-01,4.413888713754200201e-03
1.167599999999999909e+03,2.824825996345781132e-01,7.234330873037616780e-03,2.895851318944844266e-01,4.413631595101195210e-03
1.168000000000000000e+03,2.824746004566209834e-01,7.234490409179533676e-03,2.895815639269406216e-01,4.413524712650851792e-03
1.168400000000000091e+03,2.824668064589752059e-01,7.234741186088125206e-03,2.895777559055118244e-01,4.413506356676618995e-03
1.168799999999999955e+03,2.824592459502624497e-01,7.234947603407854318e-03,2.895740788272872512e-01,4.413601270344330758e-03
1.169200000000000045e+03,2.824520612384536222e-01,7.235209313058203751e-03,2.895704185197855440e-01,4.413678767214841876e-03
1.169599999999999909e+03,2.824447389420884358e-01,7.235416553122119877e-03,2.895660909712722830e-01,4.413707747405770307e-03
1.170000000000000000e+03,2.824372364672364522e-01,7.235664739821359714e-03,2.895618518518518480e-01,4.413838740340303608e-03
1.170400000000000091e+03,2.824298245614035308e-01,7.236088322360635476e-03,2.895574305080883537e-01,4.413977959723705373e-03
1.170799999999999955e+03,2.824225743081653639e-01,7.236485099457026782e-03,2.895530264206810367e-01,4.414116959094543415e-03
1.171200000000000045e+03,2.824155566939891004e-01,7.236957851665755739e-03,2.895485257285974057e-01,4.414384827800156910e-03
1.171599999999999909e+03,2.824088568339592764e-01,7.237616731020917078e-03,2.895439569819051040e-01,4.414780740989117380e-03
1.172000000000000000e+03,2.824022468714448841e-01,7.238279777660000872e-03,2.895392918088737222e-01,4.415123779606739372e-03
1.172400000000000091e+03,2.823957124985784217e-01,7.238952807890630149e-03,2.895344592289320618e-01,4.415430666368321336e-03
1.172799999999999955e+03,2.823891967939972658e-01,7.239710490859207342e-03,2.895295446793997862e-01,4.415592386251401824e-03
1.173200000000000045e+03,2.823824724400499919e-01,7.240508133952162396e-03,2.895249033981133757e-01,4.415866419684255292e-03
1.173599999999999909e+03,2.823752982276755419e-01,7.241262626352013704e-03,2.895203930924790114e-01,4.416091132277307624e-03
1.174000000000000000e+03,2.823678449744463359e-01,7.242086790654811597e-03,2.895158148779103380e-01,4.416225352339176249e-03
1.174400000000000091e+03,2.823602406902815387e-01,7.242880335585346989e-03,2.895110269073569720e-01,4.416437537651864489e-03
1.174799999999999955e+03,2.823528685733742161e-01,7.243652884944379658e-03,2.895057456588355782e-01,4.416743567274046198e-03
1.175200000000000045e+03,2.823456716587247617e-01,7.244413000749155840e-03,2.895005956432947225e-01,4.417122134519447553e-03
1.175599999999999909e+03,2.823388340705455524e-01,7.245325075198955946e-03,2.894955483724623302e-01,4.417554534308776662e-03
1.176000000000000000e+03,2.823321853741497245e-01,7.246214564965182230e-03,2.894903911564626342e-01,4.417935748115573401e-03
1.176400000000000091e+03,2.823251445086705225e-01,7.247041805923138194e-03,2.894851099399297079e-01,4.418263797947734328e-03
1.176799999999999955e+03,2.823178251756174872e-01,7.247859587923491734e-03,2.894794640833900368e-01,4.418653136417225423e-03
1.177200000000000045e+03,2.823098453958544640e-01,7.248643882105091155e-03,2.894736238532109596e-01,4.419090119069633144e-03
1.177599999999999909e+03,2.823014605978261260e-01,7.249497241029087026e-03,2.894681414175724887e-01,4.419408924954628184e-03
1.178000000000000000e+03,2.822927560837577565e-01,7.250420724277923702e-03,2.894628749292586511e-01,4.419731846327534623e-03
1.178400000000000091e+03,2.822836756053405671e-01,7.251277763338799705e-03,2.894574564381081627e-01,4.420031148589497957e-03
1.178799999999999955e+03,2.822750113109376846e-01,7.252048898212198717e-03,2.894523950910530830e-01,4.420264665811172826e-03
1.179200000000000045e+03,2.822663952962460310e-01,7.252703446949501816e-03,2.894473230438715516e-01,4.420550602252288491e-03
1.179599999999999909e+03,2.822579688029840939e-01,7.253423113859361337e-03,2.894421837911156925e-01,4.420853282316722713e-03
1.180000000000000000e+03,2.822496610169491493e-01,7.254215065628771136e-03,2.894369632768361567e-01,4.421081810331183547e-03
1.180400000000000091e+03,2.822407940811024751e-01,7.255016097042581852e-03,2.894319298542866181e-01,4.421196358532319785e-03
1.180799999999999955e+03,2.822316790876242543e-01,7.255742784917548413e-03,2.894274644308943434e-01,4.421486680314840566e-03
1.181200000000000045e+03,2.822225279376903706e-01,7.256485669524864388e-03,2.894232701207811176e-01,4.422054449456597723e-03
1.181599999999999909e+03,2.822131714060032159e-01,7.257353186519385248e-03,2.894189517039044146e-01,4.422644982849248049e-03
1.182000000000000000e+03,2.822037930062041289e-01,7.258310084313832414e-03,2.894147208121827242e-01,4.423180172398221213e-03
1.182400000000000091e+03,2.821939980829950567e-01,7.259226324201279237e-03,2.894105491655389883e-01,4.423798731744973262e-03
1.182799999999999955e+03,2.821839843309661422e-01,7.260002732657001683e-03,2.894056053432533249e-01,4.424545617324938777e-03
1.183200000000000045e+03,2.821740055217488718e-01,7.260824128090418404e-03,2.894010029299075581e-01,4.425273673652737293e-03
