t,D_solv_mean,D_solv_err
1.678800000000000000e+04,9.024564944978334669e-02,3.436776239311159433e-04
1.679200000000000000e+04,9.024509246025444464e-02,3.437456245834545729e-04
1.679600000000000000e+04,9.024444312137809565e-02,3.437959833021993054e-04
1.680000000000000000e+04,9.024405092592591160e-02,3.439163434456825839e-04
1.680400000000000000e+04,9.024370299840427101e-02,3.440355435170751731e-04
1.680800000000000000e+04,9.024330345338199555e-02,3.442012446899957840e-04
1.681200000000000000e+04,9.024281707951110898e-02,3.443051904192073569e-04
1.681600000000000000e+04,9.024229679846354490e-02,3.443945523428053736e-04
1.682000000000000000e+04,9.024202888976967651e-02,3.445175554147389082e-04
1.682400000000000000e+04,9.024168185660695618e-02,3.447104044183026367e-04
1.682800000000000000e+04,9.024132728521247482e-02,3.448398144261943950e-04
1.683200000000000000e+04,9.024105209653571213e-02,3.449641372794997381e-04
1.683600000000000000e+04,9.024074294061228130e-02,3.451830513344083412e-04
1.684000000000000000e+04,9.024031516671064679e-02,3.452394219203617728e-04
1.684400000000000000e+04,9.023993377133961158e-02,3.453549237651774438e-04
1.684800000000000000e+04,9.023968665365271480e-02,3.454649370906014844e-04
1.685200000000000000e+04,9.023932536856818509e-02,3.455991533107453744e-04
1.685600000000000000e+04,9.023883461653396665e-02,3.457026059447388614e-04
1.686000000000000000e+04,9.023852862352270410e-02,3.458279164696157946e-04
1.686400000000000000e+04,9.023805915735469418e-02,3.459186029136284367e-04
1.686800000000000000e+04,9.023762833855909771e-02,3.461048669854603307e-04
1.687200000000000000e+04,9.023723833482605317e-02,3.461874786576182319e-04
1.687600000000000000e+04,9.023675085372169502e-02,3.463132750929033207e-04
1.688000000000000000e+04,9.023638976654378696e-02,3.464567997890149412e-04
1.688400000000000000e+04,9.023607820684936831e-02,3.465629764167002264e-04
1.688800000000000000e+04,9.023569003631770613e-02,3.466661457740550221e-04
1.689200000000000000e+04,9.023533164943300933e-02,3.467909123084744034e-04
1.689600000000000000e+04,9.023503590593434653e-02,3.469520054751920580e-04
1.690000000000000000e+04,9.023475016436555141e-02,3.470282462661448855e-04
1.690400000000000000e+04,9.023445250740563806e-02,3.471930471764876863e-04
1.690800000000000000e+04,9.023420099186008070e-02,3.474410403871584438e-04
1.691200000000000000e+04,9.023394083534813648e-02,3.475671384089431214e-04
1.691600000000000000e+04,9.023347608663284669e-02,3.476866521564725334e-04
1.692000000000000000e+04,9.023304439190964199e-02,3.478395129643641428e-04
1.692400000000000000e+04,9.023284815777726786e-02,3.480072118643703981e-04
1.692800000000000000e+04,9.023246166771686783e-02,3.481788435630878576e-04
1.693200000000000000e+04,9.023207864136283118e-02,3.483790860979145572e-04
1.693600000000000000e+04,9.023150444374464230e-02,3.485245529938958589e-04
1.694000000000000000e+04,9.023122786304606235e-02,3.487019966526402805e-04
1.694400000000000000e+04,9.023053172979400571e-02,3.488796560786120294e-04
1.694800000000000000e+04,9.023015061320466268e-02,3.490152449043722725e-04
1.695200000000000000e+04,9.022965278870187511e-02,3.491542063390089333e-04
1.695600000000000000e+04,9.022933103544686362e-02,3.492599653420822969e-04
1.696000000000000000e+04,9.022899305555556748e-02,3.495095720358997317e-04
1.696400000000000000e+04,9.022861702777998372e-02,3.496765274574016396e-04
1.696800000000000000e+04,9.022820625316499421e-02,3.498483349848808600e-04
1.697200000000000000e+04,9.022775093618246034e-02,3.500880032015612760e-04
1.697600000000000000e+04,9.022741037455928037e-02,3.503090017048888713e-04
1.698000000000000000e+04,9.022679841207520424e-02,3.504436852979635371e-04
1.698400000000000000e+04,9.022642552467680099e-02,3.506341125096032007e-04
1.698800000000000000e+04,9.022611712843052467e-02,3.507629913876973726e-04
1.699200000000000000e+04,9.022589933389132955e-02,3.509062497164730358e-04
1.699600000000000000e+04,9.022551166723324911e-02,3.510454830837517908e-04
1.700000000000000000e+04,9.022504684095861149e-02,3.511577762058372344e-04
1.700400000000000000e+04,9.022482400655182366e-02,3.512989219871048233e-04
1.700800000000000000e+04,9.022430403121843578e-02,3.514791305177672486e-04
1.701200000000000000e+04,9.022423060845938259e-02,3.516873986724022155e-04
1.701600000000000000e+04,9.022366966166918412e-02,3.518977408787121622e-04
1.702000000000000000e+04,9.022357466161813611e-02,3.520301699228693703e-04
1.702400000000000000e+04,9.022316642300193257e-02,3.521577440428816917e-04
1.702800000000000000e+04,9.022280840271797164e-02,3.523053274166013950e-04
1.703200000000000000e+04,9.022242663048206379e-02,3.524664029752024789e-04
1.703600000000000000e+04,9.022222004817685714e-02,3.526884404762890509e-04
1.704000000000000000e+04,9.022185054773082524e-02,3.528369451010983284e-04
1.704400000000000000e+04,9.022166592783818773e-02,3.529895507557723189e-04
1.704800000000000000e+04,9.022133040478301502e-02,3.532063554800725217e-04
1.705200000000000000e+04,9.022108191935777899e-02,3.534239255970099609e-04
1.705600000000000000e+04,9.022094863977485335e-02,3.535352407776036206e-04
1.706000000000000000e+04,9.022064717120402422e-02,3.536924980991949341e-04
1.706400000000000000e+04,9.022063560278516248e-02,3.538630842208738696e-04
1.706800000000000000e+04,9.022042440260742702e-02,3.539956110846272509e-04
1.707200000000000000e+04,9.021982062897010435e-02,3.541850509252292278e-04
1.707600000000000000e+04,9.021954248110841679e-02,3.543529987447736223e-04
1.708000000000000000e+04,9.021939348599185282e-02,3.545640081115481921e-04
1.708400000000000000e+04,9.021901367534708449e-02,3.547135563661150070e-04
1.708800000000000000e+04,9.021885186919129107e-02,3.549383932684645692e-04
1.709200000000000000e+04,9.021853628728189467e-02,3.551091588929458837e-04
1.709600000000000000e+04,9.021816019341756532e-02,3.552983217282419063e-04
1.710000000000000000e+04,9.021766515053064595e-02,3.555967476211045254e-04
1.710400000000000000e+04,9.021734573675639635e-02,3.557861377284712314e-04
1.710800000000000000e+04,9.021689874349449190e-02,3.559840997921497486e-04
1.711200000000000000e+04,9.021641841116481708e-02,3.561112139052995530e-04
1.711600000000000000e+04,9.021608544744791347e-02,3.562842360482041011e-04
1.712000000000000000e+04,9.021572992384910283e-02,3.564838888652156930e-04
1.712400000000000000e+04,9.021554975905594909e-02,3.566726724031521359e-04
1.712800000000000000e+04,9.021521506910927524e-02,3.568870315300051829e-04
1.713200000000000000e+04,9.021474866180680119e-02,3.570635841213679940e-04
1.713600000000000000e+04,9.021442079918388923e-02,3.572932562951216910e-04
1.714000000000000000e+04,9.021420761484938433e-02,3.574692395446070936e-04
1.714400000000000000e+04,9.021395996439744713e-02,3.576021762311265843e-04
1.714800000000000000e+04,9.021385173953985759e-02,3.578192497746055640e-04
1.715200000000000000e+04,9.021355246337756095e-02,3.579616646051434446e-04
1.715600000000000000e+04,9.021327599457701352e-02,3.581523392002226337e-04
1.716000000000000000e+04,9.021283993783994759e-02,3.583447682075936442e-04
1.716400000000000000e+04,9.021244184641412367e-02,3.584811685744716142e-04
1.716800000000000000e+04,9.021225428014222059e-02,3.587595391455213035e-04
1.717200000000000000e+04,9.021180690357255560e-02,3.589820627781688256e-04
1.717600000000000000e+04,9.021133925028895773e-02,3.592319147258457991e-04
1.718000000000000000e+04,9.021094080110377000e-02,3.594438380861566065e-04
1.718400000000000000e+04,9.021040890751086394e-02,3.596950560707267742e-04
1.718800000000000000e+04,9.021017031693084887e-02,3.598086519695225128e-04
1.719200000000000000e+04,9.020987367078572849e-02,3.600999739377893673e-04
1.719600000000000000e+04,9.020973654510522355e-02,3.603359212974689631e-04
1.720000000000000000e+04,9.020929801894918276e-02,3.604648302522659819e-04
1.720400000000000000e+04,9.020899962971574981e-02,3.607085472080260192e-04
