timestep,H(t)_mean,H(t)_err
3.360000000000000142e+01,8.838799999999999088e-03,1.339609644635330699e-04
3.400000000000000000e+01,8.628000000000000252e-03,1.122274476231195276e-04
3.439999999999999858e+01,8.479999999999999691e-03,1.000434905428634273e-04
3.479999999999999716e+01,8.428599999999999634e-03,6.089219982887779565e-05
3.520000000000000284e+01,8.277999999999998901e-03,7.959459780663517825e-05
3.560000000000000142e+01,8.047399999999999692e-03,7.189895687699500665e-05
3.600000000000000000e+01,7.988399999999999668e-03,9.169983642297291999e-05
3.639999999999999858e+01,7.839599999999998653e-03,4.089572104756184146e-05
3.679999999999999716e+01,7.692200000000000600e-03,7.107840741040841463e-05
3.720000000000000284e+01,7.590399999999999751e-03,7.083332549019571360e-05
3.760000000000000142e+01,7.508599999999999823e-03,1.252719441854399434e-04
3.800000000000000000e+01,7.256600000000000203e-03,1.142421113250275332e-04
3.839999999999999858e+01,7.085800000000000605e-03,5.477535942374101724e-05
3.879999999999999716e+01,7.021200000000000011e-03,1.740865876510881097e-04
3.920000000000000284e+01,6.813399999999999838e-03,6.804233975988766068e-05
3.960000000000000142e+01,6.734600000000000308e-03,7.980012531318479805e-05
4.000000000000000000e+01,6.648999999999999529e-03,9.399202093794987783e-05
4.039999999999999858e+01,6.643800000000000053e-03,1.009407747146810438e-04
4.079999999999999716e+01,6.569000000000000186e-03,5.247475583554452895e-05
4.120000000000000284e+01,6.430999999999999217e-03,6.154835497395520598e-05
4.160000000000000142e+01,6.268999999999999399e-03,9.412066723095414945e-05
4.200000000000000000e+01,6.114800000000000964e-03,6.946178805645595222e-05
4.239999999999999858e+01,6.047199999999999971e-03,6.242867930686995712e-05
4.279999999999999716e+01,5.929399999999999601e-03,7.432671121474434422e-05
4.320000000000000284e+01,5.839999999999999705e-03,9.047209514540935696e-05
4.360000000000000142e+01,5.788200000000001157e-03,1.286947551378842956e-04
4.400000000000000000e+01,5.829599999999999886e-03,1.085088014863311323e-04
4.439999999999999858e+01,5.855799999999999547e-03,7.348088186732653986e-05
4.479999999999999716e+01,5.779399999999999642e-03,6.579559255755657336e-05
4.520000000000000284e+01,5.707600000000000173e-03,4.153865669469824134e-05
4.560000000000000142e+01,5.617800000000000051e-03,4.836155497913613329e-05
4.600000000000000000e+01,5.621000000000000128e-03,4.923311893431086015e-05
4.639999999999999858e+01,5.410400000000000105e-03,3.569537785204122358e-05
4.679999999999999716e+01,5.315000000000000280e-03,1.498332406377174179e-05
4.720000000000000284e+01,5.256399999999999614e-03,5.100843067572266798e-05
4.760000000000000142e+01,5.185799999999999958e-03,5.604944245931445831e-05
4.800000000000000000e+01,5.129800000000000332e-03,5.273651486399154700e-05
4.839999999999999858e+01,5.003600000000000408e-03,5.468052669826796506e-05
4.879999999999999716e+01,4.838799999999999872e-03,3.966913157607556507e-05
4.920000000000000284e+01,4.725799999999999619e-03,6.731225742760377857e-05
4.960000000000000142e+01,4.752000000000000147e-03,7.283680388375093971e-05
5.000000000000000000e+01,4.779999999999999527e-03,6.759585786126248762e-05
5.039999999999999858e+01,4.782800000000000246e-03,4.867175772457779334e-05
5.079999999999999716e+01,4.856599999999999979e-03,7.430787306874016599e-05
5.120000000000000284e+01,4.749200000000000296e-03,3.512178810937731729e-05
5.160000000000000142e+01,4.623200000000000053e-03,7.281991485850555670e-05
5.200000000000000000e+01,4.633199999999999645e-03,9.526142976042307120e-05
5.239999999999999858e+01,4.571400000000000637e-03,7.835598254122010152e-05
5.279999999999999716e+01,4.530399999999999532e-03,7.552191734854204271e-05
5.320000000000000284e+01,4.447800000000000017e-03,5.052563705684475794e-05
5.360000000000000142e+01,4.410999999999999990e-03,8.140454532764124739e-05
5.400000000000000000e+01,4.374400000000000510e-03,5.583242785335408120e-05
5.439999999999999858e+01,4.333399999999999405e-03,7.628210799394573500e-05
5.479999999999999716e+01,4.292200000000000355e-03,4.712048386848337637e-05
5.520000000000000284e+01,4.329000000000000382e-03,4.780271958790629789e-05
5.560000000000000142e+01,4.272799999999999342e-03,4.965017623332269490e-05
5.600000000000000000e+01,4.211399999999999692e-03,1.040397039595942011e-04
