t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
2.424000000000000057e+02,3.868692656765676530e-01,3.578537925926783287e-03,3.916853341584157766e-01,4.459602291084828127e-03
2.428000000000000114e+02,3.868656850631521094e-01,3.580676969239959210e-03,3.916836902800658882e-01,4.465504301281196520e-03
2.431999999999999886e+02,3.868610745614035618e-01,3.582848980883916647e-03,3.916817708333334425e-01,4.471528028909785811e-03
2.435999999999999943e+02,3.868572112753148051e-01,3.584915483057963571e-03,3.916799397920088244e-01,4.477378252742984267e-03
2.440000000000000000e+02,3.868535450819671206e-01,3.586709043585369246e-03,3.916782718579235323e-01,4.483243275814432528e-03
2.444000000000000057e+02,3.868491339334424461e-01,3.588459201341530694e-03,3.916769503546098652e-01,4.489197295433990965e-03
2.448000000000000114e+02,3.868438453159041002e-01,3.590041986312148686e-03,3.916757421023964736e-01,4.495049198152397361e-03
2.451999999999999886e+02,3.868391245241979415e-01,3.591819364912349471e-03,3.916746329526917814e-01,4.500968792471094111e-03
2.455999999999999943e+02,3.868342833876221576e-01,3.593698976384848611e-03,3.916736292073833003e-01,4.507081584781683602e-03
2.460000000000000000e+02,3.868294444444444480e-01,3.595968331105131328e-03,3.916725948509484634e-01,4.513065535215210825e-03
2.464000000000000057e+02,3.868253314393938491e-01,3.598532734160790961e-03,3.916712662337661355e-01,4.518794566579244915e-03
2.468000000000000114e+02,3.868203741220961334e-01,3.600948672296969480e-03,3.916709616423554863e-01,4.524449898443637028e-03
2.471999999999999886e+02,3.868156148867313848e-01,3.603370546539047797e-03,3.916708805285868400e-01,4.530005371909864159e-03
2.475999999999999943e+02,3.868105411954765871e-01,3.605737725556810731e-03,3.916701063543349681e-01,4.535521100921359634e-03
2.480000000000000000e+02,3.868056249999999863e-01,3.608008259432921548e-03,3.916684543010752750e-01,4.541057372346737030e-03
2.484000000000000057e+02,3.868009594739666435e-01,3.610126277065802986e-03,3.916671095008051884e-01,4.546893640396980005e-03
2.488000000000000114e+02,3.867957194533761522e-01,3.612047888251700666e-03,3.916658695069667462e-01,4.552798280392417879e-03
2.491999999999999886e+02,3.867905296950240879e-01,3.613645847442947812e-03,3.916656099518459611e-01,4.558523956904714410e-03
2.495999999999999943e+02,3.867860977564102631e-01,3.615211350259995172e-03,3.916649439102564134e-01,4.563959374147471930e-03
2.500000000000000000e+02,3.867819866666666329e-01,3.616771216031787039e-03,3.916647533333333930e-01,4.569265672348101111e-03
2.504000000000000057e+02,3.867777223109690743e-01,3.618211697686322427e-03,3.916644768370606822e-01,4.574581018204348926e-03
2.508000000000000114e+02,3.867735047846889151e-01,3.619575480720273360e-03,3.916643274853800483e-01,4.579927456171365568e-03
2.511999999999999886e+02,3.867688561571125394e-01,3.620847647372838884e-03,3.916641653397027745e-01,4.585239645328190693e-03
2.515999999999999943e+02,3.867645601483836737e-01,3.622130145538512980e-03,3.916638314785373387e-01,4.590408254732830998e-03
2.520000000000000000e+02,3.867601587301587318e-01,3.623438055553802103e-03,3.916631150793650762e-01,4.595541428581918081e-03
2.524000000000000057e+02,3.867562334918119293e-01,3.624513375147875218e-03,3.916624405705229628e-01,4.600698216577608565e-03
2.528000000000000114e+02,3.867526569092826216e-01,3.625582253424203955e-03,3.916617088607594610e-01,4.605797252129755458e-03
2.531999999999999886e+02,3.867492627698789209e-01,3.626554895419642228e-03,3.916600776724591948e-01,4.610745650081593018e-03
