cluster_size, probability, probability_err
7.341000000000000000e+03,3.239013266998341705e-06,3.239013266998341281e-06
7.351000000000000000e+03,3.493767119458884925e-06,3.493767119458884925e-06
7.355000000000000000e+03,4.457996754578362785e-06,4.457996754578363632e-06
7.361000000000000000e+03,3.523459191295646372e-06,3.523459191295647219e-06
7.362000000000000000e+03,4.506453241041170957e-06,4.506453241041170957e-06
7.364000000000000000e+03,4.044816567568660935e-06,4.044816567568660935e-06
7.367000000000000000e+03,4.230547940569261442e-06,4.230547940569262289e-06
7.371000000000000000e+03,3.543535881844339454e-06,3.543535881844339454e-06
7.375000000000000000e+03,4.177266480360581256e-06,4.177266480360582103e-06
7.378000000000000000e+03,1.108582635889656481e-05,5.920772189847110812e-06
7.379000000000000000e+03,3.334533765488909522e-06,3.334533765488909946e-06
7.380000000000000000e+03,7.718499700081155133e-06,3.975635205470860758e-06
7.381000000000000000e+03,8.074912955655435003e-06,4.145823098681797053e-06
7.383000000000000000e+03,3.290426175998314784e-06,3.290426175998315208e-06
7.384000000000000000e+03,1.808151598569225152e-05,5.725385292436012611e-06
7.385000000000000000e+03,4.296307753116971349e-06,4.296307753116970502e-06
7.386000000000000000e+03,1.100245375879671356e-05,5.849864086323426877e-06
7.387000000000000000e+03,3.474248867394869440e-06,3.474248867394869440e-06
7.388000000000000000e+03,2.142127460861969820e-05,9.422835771087003910e-06
7.391000000000000000e+03,4.697945588394194880e-06,4.697945588394195727e-06
7.394000000000000000e+03,1.125727193123505304e-05,5.954781695029297517e-06
7.395000000000000000e+03,1.513959546103890784e-05,8.994166089547001513e-06
7.396000000000000000e+03,7.739082365948037843e-06,3.986236899352116857e-06
7.398000000000000000e+03,2.979207757073584412e-05,1.645910230430434697e-05
7.399000000000000000e+03,3.247470220698075645e-06,3.247470220698076068e-06
7.400000000000000000e+03,3.493767119458884925e-06,3.493767119458884925e-06
7.402000000000000000e+03,1.280477711880022167e-05,1.134147142999218917e-06
7.403000000000000000e+03,1.006814357130432452e-05,1.006814357130432621e-05
7.404000000000000000e+03,2.070636384178856744e-05,1.186015135580116464e-05
7.405000000000000000e+03,1.723219407327746845e-05,5.283354507325873410e-06
7.407000000000000000e+03,2.399203558340970647e-05,5.042885363378960829e-06
7.408000000000000000e+03,1.764685634821664903e-05,1.280644079866731446e-05
7.409000000000000000e+03,3.373670302774040350e-05,4.160910256190387790e-06
7.410000000000000000e+03,3.274936378349203278e-05,4.598762829371139840e-06
7.411000000000000000e+03,2.127873941227562146e-05,3.547358788613016928e-06
7.412000000000000000e+03,2.514166152752032903e-05,7.936644523661790440e-06
7.413000000000000000e+03,1.321055043670038738e-05,1.155124573069950576e-06
7.414000000000000000e+03,8.324465672510902823e-06,4.315731615228543090e-06
7.415000000000000000e+03,9.218955139757630481e-06,9.218955139757630481e-06
7.416000000000000000e+03,1.403191599474564359e-05,8.026088430000048144e-06
7.417000000000000000e+03,1.696808827667308504e-05,8.746694843470869505e-06
7.418000000000000000e+03,4.398872129186076564e-06,4.398872129186076564e-06
7.419000000000000000e+03,8.510721076922326875e-06,4.383691604859365419e-06
7.420000000000000000e+03,7.761678914113462718e-06,4.040958795643206821e-06
7.421000000000000000e+03,1.225722557960164906e-05,6.517034941197213028e-06
7.422000000000000000e+03,1.201264416438545896e-05,6.286094975942666279e-06
7.423000000000000000e+03,2.001952196074241884e-05,1.001774683179329969e-05
7.424000000000000000e+03,4.820856955532414950e-06,4.820856955532415797e-06
7.425000000000000000e+03,4.658356159278512951e-06,4.658356159278513798e-06
7.426000000000000000e+03,2.049124663820291054e-05,6.172869142662138244e-06
7.427000000000000000e+03,1.278410004750923111e-05,8.169333967907881194e-06
7.428000000000000000e+03,2.930516601084073988e-05,7.779570883640734221e-06
7.429000000000000000e+03,1.726256986210135665e-05,2.629525177658532690e-06
7.430000000000000000e+03,2.381890409546809842e-05,5.572129640074810299e-06
