t,sigma_avg,sigma_err
9.527999999999999545e+02,1.909075488035264812e+02,4.748507420981893290e+01
9.532000000000000455e+02,1.908838526367323993e+02,4.747403260820023263e+01
9.536000000000000227e+02,1.908591045336968648e+02,4.746298170697912155e+01
9.540000000000000000e+02,1.908327546296296475e+02,4.745215255672555088e+01
9.543999999999999773e+02,1.908039200020955946e+02,4.744024356182386271e+01
9.547999999999999545e+02,1.907734761206535836e+02,4.742866939092638745e+01
9.552000000000000455e+02,1.907408732028196425e+02,4.741699196916502501e+01
9.556000000000000227e+02,1.907068848541927935e+02,4.740521348013317748e+01
9.560000000000000000e+02,1.906722934100418456e+02,4.739387927363997477e+01
9.563999999999999773e+02,1.906350467900460046e+02,4.738217622852810962e+01
9.567999999999999545e+02,1.905972769474637971e+02,4.737023271832598681e+01
9.572000000000000455e+02,1.905596322607605373e+02,4.735683281158883773e+01
9.576000000000000227e+02,1.905217823203842613e+02,4.734322831570445089e+01
9.580000000000000000e+02,1.904837930584551202e+02,4.732959328678268207e+01
9.583999999999999773e+02,1.904447090637173403e+02,4.731623446672178801e+01
9.587999999999999545e+02,1.904061470066750417e+02,4.730355670168970050e+01
9.592000000000000455e+02,1.903671127849596871e+02,4.729173173088297943e+01
9.596000000000000227e+02,1.903274810685007310e+02,4.728062761669819025e+01
9.600000000000000000e+02,1.902876749131944223e+02,4.727046620038907321e+01
9.603999999999999773e+02,1.902473222962654802e+02,4.726074197475808347e+01
9.607999999999999545e+02,1.902063805335831148e+02,4.725121647848597917e+01
9.612000000000000455e+02,1.901646297163267434e+02,4.724121684325747594e+01
9.616000000000000227e+02,1.901219690273155720e+02,4.723193344000349470e+01
9.620000000000000000e+02,1.900795595114345531e+02,4.722335681375491134e+01
9.623999999999999773e+02,1.900395205562483056e+02,4.721501298530082380e+01
9.627999999999999545e+02,1.899984796946406789e+02,4.720675484552124601e+01
9.632000000000000455e+02,1.899564974390919190e+02,4.719814696557408951e+01
9.636000000000000227e+02,1.899147182440846677e+02,4.718890224717097936e+01
9.640000000000000000e+02,1.898741986514522466e+02,4.717931397015114925e+01
9.643999999999999773e+02,1.898348079116549059e+02,4.716969111114199364e+01
9.647999999999999545e+02,1.897960237873134304e+02,4.715948055618607526e+01
9.652000000000000455e+02,1.897582197990053885e+02,4.714884501011000140e+01
9.656000000000000227e+02,1.897203858568074679e+02,4.713791946229031993e+01
9.660000000000000000e+02,1.896821579537612195e+02,4.712680354252719184e+01
9.663999999999999773e+02,1.896448964369481587e+02,4.711610568969506119e+01
9.667999999999999545e+02,1.896077187629292951e+02,4.710534690486853293e+01
9.672000000000000455e+02,1.895690455266059757e+02,4.709418755141373936e+01
