t,sigma_avg,sigma_err
7.403999999999999773e+02,3.705522150189087256e+02,7.414864338270275823e+01
7.407999999999999545e+02,3.705035772138229504e+02,7.413635032323020368e+01
7.412000000000000455e+02,3.704540789710378590e+02,7.412470471521399418e+01
7.416000000000000227e+02,3.704035194174756498e+02,7.411383344700759324e+01
7.420000000000000000e+02,3.703551549865229049e+02,7.410236274400864431e+01
7.423999999999999773e+02,3.703095209231322542e+02,7.409044878573125459e+01
7.427999999999999545e+02,3.702600026925148313e+02,7.407877014128850135e+01
7.432000000000000455e+02,3.702090487082884351e+02,7.406769733905979081e+01
7.436000000000000227e+02,3.701596534875380939e+02,7.405671349685168536e+01
7.440000000000000000e+02,3.701126097670251056e+02,7.404555449730938221e+01
7.443999999999999773e+02,3.700645419129500624e+02,7.403479544805526302e+01
7.447999999999999545e+02,3.700159863945578991e+02,7.402275922967125155e+01
7.452000000000000455e+02,3.699729222580067471e+02,7.401071609153501640e+01
7.456000000000000227e+02,3.699305212804005691e+02,7.399902400571886574e+01
7.460000000000000000e+02,3.698867582663091866e+02,7.398722951270769954e+01
7.463999999999999773e+02,3.698427585744909720e+02,7.397564152150214056e+01
7.467999999999999545e+02,3.697957998571683902e+02,7.396520387472988034e+01
7.472000000000000455e+02,3.697464021234831648e+02,7.395457617808455097e+01
7.476000000000000227e+02,3.696985620652754960e+02,7.394307501439145369e+01
7.480000000000000000e+02,3.696518560606060646e+02,7.393056583477886079e+01
7.483999999999999773e+02,3.696051643506147002e+02,7.391731657664085731e+01
7.487999999999999545e+02,3.695568509615385437e+02,7.390293290332985521e+01
7.492000000000000455e+02,3.695083800498308619e+02,7.388743948968891573e+01
7.496000000000000227e+02,3.694607234969761294e+02,7.387281749026902844e+01
7.500000000000000000e+02,3.694111222222222182e+02,7.385863859894131167e+01
7.503999999999999773e+02,3.693606476545842838e+02,7.384462698249491552e+01
7.507999999999999545e+02,3.693120959865033228e+02,7.382986642978036684e+01
7.512000000000000455e+02,3.692652600283989841e+02,7.381469713835710422e+01
7.516000000000000227e+02,3.692168662409082458e+02,7.379879414394751791e+01
7.520000000000000000e+02,3.691717575354609835e+02,7.378147149293063478e+01
7.523999999999999773e+02,3.691290669856459203e+02,7.376277817132499592e+01
7.527999999999999545e+02,3.690824012575274651e+02,7.374320883394260306e+01
7.532000000000000455e+02,3.690335391219684311e+02,7.372301041190968363e+01
7.536000000000000227e+02,3.689845408704883312e+02,7.370167309212413898e+01
7.540000000000000000e+02,3.689354266136163005e+02,7.367829672671878427e+01
7.543999999999999773e+02,3.688874116295510817e+02,7.365467745256835030e+01
7.547999999999999545e+02,3.688431549196255901e+02,7.363034621508859345e+01
7.552000000000000455e+02,3.687978703213275935e+02,7.360508932947236360e+01
7.556000000000000227e+02,3.687524550026468546e+02,7.357948473713348392e+01
7.560000000000000000e+02,3.687068981481481273e+02,7.355378924229793824e+01
7.563999999999999773e+02,3.686615569363652867e+02,7.352808968982532178e+01
7.567999999999999545e+02,3.686173427589852736e+02,7.350136649400752731e+01
7.572000000000000455e+02,3.685712251276632969e+02,7.347443838012551964e+01
